,Unnamed: 0,Port Name,State,Port Code,Border,Date,Measure,Value,Location,location_x,location_y,year,month,agg_month,day_of_the_week,is_week_day
19,19,San Ysidro,California,2504,US-Mexico Border,2019-03-01,Bus Passengers,7779,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2019,3,279,4,1
93,93,Calexico East,California,2507,US-Mexico Border,2019-03-01,Truck Containers Full,20256,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
94,94,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Truck Containers Full,63197,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
152,152,Calexico East,California,2507,US-Mexico Border,2019-03-01,Train Passengers,21,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
247,247,San Ysidro,California,2504,US-Mexico Border,2019-03-01,Pedestrians,930046,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2019,3,279,4,1
354,354,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Rail Containers Empty,235,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
844,844,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Bus Passengers,1690,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
944,944,Calexico,California,2503,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,682264,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,2,278,4,1
1068,1068,San Ysidro,California,2504,US-Mexico Border,2019-02-01,Buses,2952,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2019,2,278,4,1
1077,1077,Calexico,California,2503,US-Mexico Border,2019-02-01,Personal Vehicles,374126,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,2,278,4,1
1095,1095,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,847972,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
1496,1496,San Ysidro,California,2504,US-Mexico Border,2019-02-01,Pedestrians,749417,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2019,2,278,4,1
1500,1500,Tecate,California,2505,US-Mexico Border,2019-02-01,Pedestrians,57888,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2019,2,278,4,1
1949,1949,Calexico,California,2503,US-Mexico Border,2019-01-01,Pedestrians,319138,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,1,277,1,1
3572,3572,Tecate,California,2505,US-Mexico Border,2018-11-01,Truck Containers Empty,2133,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2018,11,275,3,1
3588,3588,Tecate,California,2505,US-Mexico Border,2018-11-01,Pedestrians,73873,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2018,11,275,3,1
7085,7085,Calexico,California,2503,US-Mexico Border,2018-07-01,Personal Vehicle Passengers,667792,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2018,7,271,6,0
9113,9113,Calexico East,California,2507,US-Mexico Border,2018-04-01,Rail Containers Empty,787,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2018,4,268,6,0
11841,11841,San Ysidro,California,2504,US-Mexico Border,2018-01-01,Bus Passengers,4676,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2018,1,265,0,1
13526,13526,Otay Mesa,California,2506,US-Mexico Border,2017-10-01,Trains,40,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,10,262,6,0
14927,14927,San Ysidro,California,2504,US-Mexico Border,2017-09-01,Buses,2911,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,9,261,4,1
14934,14934,Calexico East,California,2507,US-Mexico Border,2017-09-01,Rail Containers Empty,666,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,9,261,4,1
15344,15344,Otay Mesa,California,2506,US-Mexico Border,2017-08-01,Trains,58,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,8,260,1,1
15603,15603,Andrade,California,2502,US-Mexico Border,2017-08-01,Personal Vehicles,49331,POINT (-114.63402 32.7394),-114.63401999999999,32.7394,2017,8,260,1,1
15961,15961,San Ysidro,California,2504,US-Mexico Border,2017-07-01,Buses,2968,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,7,259,5,0
15968,15968,Calexico,California,2503,US-Mexico Border,2017-07-01,Personal Vehicle Passengers,644973,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2017,7,259,5,0
16151,16151,San Ysidro,California,2504,US-Mexico Border,2017-07-01,Pedestrians,752718,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,7,259,5,0
16628,16628,Otay Mesa,California,2506,US-Mexico Border,2017-07-01,Bus Passengers,4015,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,7,259,5,0
17165,17165,Tecate,California,2505,US-Mexico Border,2017-06-01,Truck Containers Empty,2273,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2017,6,258,3,1
17181,17181,Tecate,California,2505,US-Mexico Border,2017-06-01,Personal Vehicles,88389,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2017,6,258,3,1
17184,17184,Otay Mesa,California,2506,US-Mexico Border,2017-06-01,Pedestrians,288242,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,6,258,3,1
17281,17281,Andrade,California,2502,US-Mexico Border,2017-06-01,Personal Vehicle Passengers,93887,POINT (-114.63402 32.7394),-114.63401999999999,32.7394,2017,6,258,3,1
17294,17294,Tecate,California,2505,US-Mexico Border,2017-06-01,Truck Containers Full,3350,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2017,6,258,3,1
17414,17414,San Ysidro,California,2504,US-Mexico Border,2017-06-01,Buses,2872,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,6,258,3,1
17506,17506,Otay Mesa,California,2506,US-Mexico Border,2017-06-01,Trains,47,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,6,258,3,1
17507,17507,San Ysidro,California,2504,US-Mexico Border,2017-06-01,Personal Vehicle Passengers,1983329,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,6,258,3,1
17816,17816,San Ysidro,California,2504,US-Mexico Border,2017-05-01,Buses,2500,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,5,257,0,1
18089,18089,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Rail Containers Empty,221,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18260,18260,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Personal Vehicle Passengers,1158713,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18275,18275,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Trucks,81147,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18283,18283,Calexico East,California,2507,US-Mexico Border,2017-05-01,Pedestrians,20553,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2017,5,257,0,1
18297,18297,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Buses,2830,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18307,18307,Otay Mesa,California,2506,US-Mexico Border,2017-05-01,Trains,26,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,5,257,0,1
18478,18478,Otay Mesa,California,2506,US-Mexico Border,2017-04-01,Trucks,72884,POINT (-117.05333 32.57333),-117.05333,32.57333,2017,4,256,5,0
18481,18481,San Ysidro,California,2504,US-Mexico Border,2017-04-01,Personal Vehicle Passengers,1960771,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2017,4,256,5,0
