,Unnamed: 0,Port Name,State,Port Code,Border,Date,Measure,Value,Location,location_x,location_y,year,month,agg_month,day_of_the_week,is_week_day
19,19,San Ysidro,California,2504,US-Mexico Border,2019-03-01,Bus Passengers,7779,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2019,3,279,4,1
75,75,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Buses,916,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
89,89,Calexico,California,2503,US-Mexico Border,2019-03-01,Pedestrians,346158,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,3,279,4,1
91,91,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Pedestrians,306812,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
93,93,Calexico East,California,2507,US-Mexico Border,2019-03-01,Truck Containers Full,20256,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
94,94,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Truck Containers Full,63197,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
95,95,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Truck Containers Empty,22225,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
108,108,Calexico East,California,2507,US-Mexico Border,2019-03-01,Personal Vehicles,285861,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
111,111,Tecate,California,2505,US-Mexico Border,2019-03-01,Personal Vehicles,92015,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2019,3,279,4,1
152,152,Calexico East,California,2507,US-Mexico Border,2019-03-01,Train Passengers,21,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
228,228,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Train Passengers,36,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
459,459,Otay Mesa,California,2506,US-Mexico Border,2019-03-01,Trains,38,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,3,279,4,1
707,707,Tecate,California,2505,US-Mexico Border,2019-03-01,Trucks,4608,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2019,3,279,4,1
944,944,Calexico,California,2503,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,682264,POINT (-115.49806000000001 32.67889),-115.49806000000001,32.67889,2019,2,278,4,1
1068,1068,San Ysidro,California,2504,US-Mexico Border,2019-02-01,Buses,2952,POINT (-117.02666999999998 32.54306),-117.02667,32.54306,2019,2,278,4,1
