,Unnamed: 0,Port Name,State,Port Code,Border,Date,Measure,Value,Location,location_x,location_y,year,month,agg_month,day_of_the_week,is_week_day
74,74,Santa Teresa,New Mexico,2408,US-Mexico Border,2019-03-01,Personal Vehicle Passengers,109340,POINT (-106.67903 31.850000000000005),-106.67903000000001,31.850000000000005,2019,3,279,4,1
93,93,Calexico East,California,2507,US-Mexico Border,2019-03-01,Truck Containers Full,20256,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
297,297,Del Rio,Texas,2302,US-Mexico Border,2019-03-01,Pedestrians,17610,POINT (-100.89639 29.3625),-100.89639,29.3625,2019,3,279,4,1
353,353,Roma,Texas,2310,US-Mexico Border,2019-03-01,Personal Vehicles,64473,POINT (-99.01833 26.40361),-99.01833,26.403609999999997,2019,3,279,4,1
426,426,Nogales,Arizona,2604,US-Mexico Border,2019-03-01,Rail Containers Full,2887,POINT (-110.93361 31.340279999999996),-110.93361000000002,31.34028,2019,3,279,4,1
455,455,Sasabe,Arizona,2606,US-Mexico Border,2019-03-01,Personal Vehicles,2295,POINT (-111.54139 31.48861),-111.54138999999999,31.488609999999998,2019,3,279,4,1
460,460,Douglas,Arizona,2601,US-Mexico Border,2019-03-01,Buses,57,POINT (-109.54472 31.344439999999995),-109.54472,31.344439999999995,2019,3,279,4,1
552,552,Douglas,Arizona,2601,US-Mexico Border,2019-03-01,Pedestrians,75746,POINT (-109.54472 31.344439999999995),-109.54472,31.344439999999995,2019,3,279,4,1
565,565,Lukeville,Arizona,2602,US-Mexico Border,2019-03-01,Buses,54,POINT (-112.81500000000001 31.8825),-112.815,31.8825,2019,3,279,4,1
624,624,Tornillo-Fabens,Texas,2404,US-Mexico Border,2019-03-01,Pedestrians,3285,POINT (-106.15806 31.502219999999998),-106.15806,31.50222,2019,3,279,4,1
635,635,Brownsville,Texas,2301,US-Mexico Border,2019-03-01,Pedestrians,256192,POINT (-97.49722 25.90139),-97.49722,25.90139,2019,3,279,4,1
645,645,Presidio,Texas,2403,US-Mexico Border,2019-03-01,Truck Containers Empty,140,POINT (-104.37167 29.56056),-104.37167,29.56056,2019,3,279,4,1
654,654,Calexico East,California,2507,US-Mexico Border,2019-03-01,Truck Containers Empty,14494,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
682,682,Tecate,California,2505,US-Mexico Border,2019-03-01,Truck Containers Full,2744,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2019,3,279,4,1
684,684,Presidio,Texas,2403,US-Mexico Border,2019-03-01,Pedestrians,20125,POINT (-104.37167 29.56056),-104.37167,29.56056,2019,3,279,4,1
690,690,Rio Grande City,Texas,2307,US-Mexico Border,2019-03-01,Truck Containers Full,2951,POINT (-98.82 26.37944),-98.82,26.379440000000002,2019,3,279,4,1
707,707,Tecate,California,2505,US-Mexico Border,2019-03-01,Trucks,4608,POINT (-116.62667 32.57722),-116.62666999999999,32.577220000000004,2019,3,279,4,1
715,715,Del Rio,Texas,2302,US-Mexico Border,2019-03-01,Trucks,6706,POINT (-100.89639 29.3625),-100.89639,29.3625,2019,3,279,4,1
716,716,Progreso,Texas,2309,US-Mexico Border,2019-03-01,Personal Vehicles,116842,POINT (-97.94889 26.061670000000003),-97.94889,26.061670000000003,2019,3,279,4,1
747,747,Presidio,Texas,2403,US-Mexico Border,2019-03-01,Buses,105,POINT (-104.37167 29.56056),-104.37167,29.56056,2019,3,279,4,1
758,758,El Paso,Texas,2402,US-Mexico Border,2019-03-01,Truck Containers Full,51731,POINT (-106.48639 31.758610000000004),-106.48638999999999,31.758610000000004,2019,3,279,4,1
761,761,Presidio,Texas,2403,US-Mexico Border,2019-03-01,Trucks,791,POINT (-104.37167 29.56056),-104.37167,29.56056,2019,3,279,4,1
794,794,Calexico East,California,2507,US-Mexico Border,2019-03-01,Bus Passengers,4200,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,3,279,4,1
797,797,Naco,Arizona,2603,US-Mexico Border,2019-02-01,Truck Containers Empty,121,POINT (-109.9475 31.335280000000004),-109.9475,31.335280000000004,2019,2,278,4,1
950,950,Lukeville,Arizona,2602,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,54461,POINT (-112.81500000000001 31.8825),-112.815,31.8825,2019,2,278,4,1
990,990,Naco,Arizona,2603,US-Mexico Border,2019-02-01,Personal Vehicles,23797,POINT (-109.9475 31.335280000000004),-109.9475,31.335280000000004,2019,2,278,4,1
1095,1095,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,847972,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
1135,1135,Presidio,Texas,2403,US-Mexico Border,2019-02-01,Truck Containers Empty,126,POINT (-104.37167 29.56056),-104.37167,29.56056,2019,2,278,4,1
1197,1197,El Paso,Texas,2402,US-Mexico Border,2019-02-01,Truck Containers Empty,16757,POINT (-106.48639 31.758610000000004),-106.48638999999999,31.758610000000004,2019,2,278,4,1
1201,1201,Eagle Pass,Texas,2303,US-Mexico Border,2019-02-01,Rail Containers Full,9867,POINT (-100.49917 28.70889),-100.49916999999999,28.708890000000004,2019,2,278,4,1
1211,1211,San Luis,Arizona,2608,US-Mexico Border,2019-02-01,Truck Containers Full,3261,POINT (-114.78139000000002 32.48694),-114.78138999999999,32.486940000000004,2019,2,278,4,1
1219,1219,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Buses,878,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
1220,1220,Calexico East,California,2507,US-Mexico Border,2019-02-01,Rail Containers Empty,523,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,2,278,4,1
1228,1228,Sasabe,Arizona,2606,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,3241,POINT (-111.54139 31.48861),-111.54138999999999,31.488609999999998,2019,2,278,4,1
1239,1239,Calexico East,California,2507,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,415148,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,2,278,4,1
1252,1252,Calexico East,California,2507,US-Mexico Border,2019-02-01,Buses,137,POINT (-115.48433000000001 32.67524),-115.48433,32.67524,2019,2,278,4,1
1264,1264,Naco,Arizona,2603,US-Mexico Border,2019-02-01,Personal Vehicle Passengers,40858,POINT (-109.9475 31.335280000000004),-109.9475,31.335280000000004,2019,2,278,4,1
1276,1276,Santa Teresa,New Mexico,2408,US-Mexico Border,2019-02-01,Buses,15,POINT (-106.67903 31.850000000000005),-106.67903000000001,31.850000000000005,2019,2,278,4,1
1281,1281,Columbus,New Mexico,2406,US-Mexico Border,2019-02-01,Buses,76,POINT (-107.63944 31.827499999999997),-107.63944,31.8275,2019,2,278,4,1
1285,1285,Presidio,Texas,2403,US-Mexico Border,2019-02-01,Bus Passengers,125,POINT (-104.37167 29.56056),-104.37167,29.56056,2019,2,278,4,1
1287,1287,Eagle Pass,Texas,2303,US-Mexico Border,2019-02-01,Truck Containers Full,12069,POINT (-100.49917 28.70889),-100.49916999999999,28.708890000000004,2019,2,278,4,1
1311,1311,Roma,Texas,2310,US-Mexico Border,2019-02-01,Trucks,871,POINT (-99.01833 26.40361),-99.01833,26.403609999999997,2019,2,278,4,1
1323,1323,Santa Teresa,New Mexico,2408,US-Mexico Border,2019-02-01,Pedestrians,7443,POINT (-106.67903 31.850000000000005),-106.67903000000001,31.850000000000005,2019,2,278,4,1
1329,1329,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Truck Containers Empty,19908,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
1344,1344,Otay Mesa,California,2506,US-Mexico Border,2019-02-01,Rail Containers Empty,199,POINT (-117.05333 32.57333),-117.05333,32.57333,2019,2,278,4,1
1488,1488,Eagle Pass,Texas,2303,US-Mexico Border,2019-02-01,Personal Vehicles,219356,POINT (-100.49917 28.70889),-100.49916999999999,28.708890000000004,2019,2,278,4,1
1557,1557,Lukeville,Arizona,2602,US-Mexico Border,2019-02-01,Trucks,25,POINT (-112.81500000000001 31.8825),-112.815,31.8825,2019,2,278,4,1
