,Unnamed: 0,Port Name,State,Port Code,Border,Date,Measure,Value,Location,location_x,location_y,year,month,agg_month,day_of_the_week,is_week_day
566,566,Skagway,Alaska,3103,US-Canada Border,2019-03-01,Truck Containers Empty,130,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2019,3,279,4,1
920,920,Dalton Cache,Alaska,3106,US-Canada Border,2019-02-01,Personal Vehicles,371,POINT (-135.40995 59.10606000000001),-135.40995,59.10606000000001,2019,2,278,4,1
1445,1445,Ketchikan,Alaska,3102,US-Canada Border,2019-02-01,Pedestrians,14,POINT (-131.64031 55.33897),-131.64031,55.338969999999996,2019,2,278,4,1
2328,2328,Alcan,Alaska,3104,US-Canada Border,2019-01-01,Trucks,456,POINT (-142.98928 63.33693),-142.98928,63.33693,2019,1,277,1,1
2334,2334,Dalton Cache,Alaska,3106,US-Canada Border,2019-01-01,Truck Containers Full,5,POINT (-135.40995 59.10606000000001),-135.40995,59.10606000000001,2019,1,277,1,1
6563,6563,Skagway,Alaska,3103,US-Canada Border,2018-07-01,Personal Vehicles,11821,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,7,271,6,0
7137,7137,Skagway,Alaska,3103,US-Canada Border,2018-07-01,Pedestrians,20,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,7,271,6,0
7471,7471,Skagway,Alaska,3103,US-Canada Border,2018-06-01,Personal Vehicle Passengers,19926,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,6,270,4,1
8209,8209,Ketchikan,Alaska,3102,US-Canada Border,2018-05-01,Personal Vehicle Passengers,751,POINT (-131.64031 55.33897),-131.64031,55.338969999999996,2018,5,269,1,1
8305,8305,Ketchikan,Alaska,3102,US-Canada Border,2018-05-01,Pedestrians,87,POINT (-131.64031 55.33897),-131.64031,55.338969999999996,2018,5,269,1,1
8739,8739,Skagway,Alaska,3103,US-Canada Border,2018-05-01,Trucks,128,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,5,269,1,1
9785,9785,Skagway,Alaska,3103,US-Canada Border,2018-03-01,Personal Vehicles,1271,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,3,267,3,1
10281,10281,Ketchikan,Alaska,3102,US-Canada Border,2018-03-01,Personal Vehicle Passengers,203,POINT (-131.64031 55.33897),-131.64031,55.338969999999996,2018,3,267,3,1
10297,10297,Dalton Cache,Alaska,3106,US-Canada Border,2018-03-01,Truck Containers Full,11,POINT (-135.40995 59.10606000000001),-135.40995,59.10606000000001,2018,3,267,3,1
10598,10598,Alcan,Alaska,3104,US-Canada Border,2018-02-01,Trucks,395,POINT (-142.98928 63.33693),-142.98928,63.33693,2018,2,266,3,1
10885,10885,Skagway,Alaska,3103,US-Canada Border,2018-02-01,Truck Containers Empty,142,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,2,266,3,1
10993,10993,Ketchikan,Alaska,3102,US-Canada Border,2018-02-01,Pedestrians,7,POINT (-131.64031 55.33897),-131.64031,55.338969999999996,2018,2,266,3,1
11320,11320,Skagway,Alaska,3103,US-Canada Border,2018-01-01,Personal Vehicles,463,POINT (-135.30656 59.47196999999999),-135.30656000000002,59.47196999999999,2018,1,265,0,1
