state,2005:Q1,2005:Q2,2005:Q3,2005:Q4,2006:Q1,2006:Q2,2006:Q3,2006:Q4,2007:Q1,2007:Q2,2007:Q3,2007:Q4,2008:Q1,2008:Q2,2008:Q3,2008:Q4,2009:Q1,2009:Q2,2009:Q3,2009:Q4,2010:Q1,2010:Q2,2010:Q3,2010:Q4,2011:Q1,2011:Q2,2011:Q3,2011:Q4,2012:Q1,2012:Q2,2012:Q3,2012:Q4,2013:Q1,2013:Q2,2013:Q3,2013:Q4,2014:Q1,2014:Q2,2014:Q3,2014:Q4,2015:Q1,2015:Q2,2015:Q3,2015:Q4,2016:Q1,2016:Q2,2016:Q3,2016:Q4,2017:Q1,2017:Q2,2017:Q3,2017:Q4,2018:Q1,2018:Q2,2018:Q3,2018:Q4,2019:Q1,2019:Q2
Alaska,37377.7,38626,40251.7,42843.8,42633.9,44349.8,45038.2,45719.4,46441.9,48737.4,49602.3,51108.7,52412.2,55933.6,57385.7,53278.2,50476.6,49204.5,48562.2,50100.2,51525.4,52519.9,53446.7,54038.1,53886.2,56402.1,56441,58310.4,57858.8,58023.9,57679.4,57118.4,57342.3,56056.8,57173.8,55918.1,55992.1,56358.6,55722.2,54020.9,51319.1,51379.8,50342.3,49525.1,48551,49272.9,49488.5,50141.4,51099.7,51274,52060.2,52778.4,53563,54372.7,55410,55590.6,54941.4,55494.6
Arizona,219858.1,225360.6,232317,235388.9,242446.7,245035.7,250166.7,255273.5,257952,261341.6,265246,264748.5,262590.9,261815.6,259923.5,253136.8,246491.2,242639.5,241157,245430,243046.2,246941.1,249806.6,253045.9,253385.8,255954.1,258524.2,263927.2,266136.4,268498.6,268334.3,270186,272513.9,273510.7,275886.9,278884.8,279952.2,282801.6,286664.1,288302,292638.8,296703.9,297624,301597.9,303204.1,309686.4,314650.2,316823.4,321355.3,323650.6,330533.4,334443.7,340672.6,345474,351708.8,355332.9,359404.7,364276.6
California,1711573.3,1734383.7,1771679.5,1797828.4,1852200,1859177.9,1883269.3,1904301.9,1916188.9,1940770.5,1966137.7,2000327,1971753.2,2012750.2,2019835.1,1958374.3,1946951.6,1912526.5,1903464.3,1917304.9,1942648.5,1959030,1972332.3,2024447.3,2030621.9,2047761.8,2054554,2067289.5,2110366.4,2125748.5,2149461.7,2192412.4,2203605.7,2231370.7,2273105.2,2343003.1,2329114.5,2372268.1,2429647.3,2449619.5,2503944.7,2559187.2,2574128.9,2577828.2,2618837.1,2637628.3,2672126.3,2702598.9,2744565.4,2791563.5,2838905.5,2901408.2,2928096.5,2992622.8,3017340.5,3052871.3,3087669.4,3123731.5
Idaho,46775.3,47564.9,48675.8,48835.6,50297.2,51074.4,50734.7,51798.8,52797.7,53365.4,54058.5,55186.7,54958.8,55999.5,56171.9,55053.7,54287,53218.3,53672.9,53922,54671.2,54712,55346.8,55952.8,55759.3,56317.1,56671.9,57204,57089.4,57609.2,58229.1,58129.7,59852,60724.4,61350.7,62143.9,62114.7,63146.3,63954.4,64871.9,65543.1,65729.9,66465.1,66278.9,67598.8,68857.2,69825.8,69835.5,70945.5,72397.6,73240.8,74309.1,75434.9,76681.3,77384.5,78707.3,79440.1,80446.2
Maine,45234.7,45527.7,45969.6,46767.3,47242.6,47902.8,48108.7,48430.3,48385.9,49154.2,49475.5,49578.8,49706.9,49975.6,50279.6,49932.9,49782.1,50250.8,50835.5,51357.7,51214.4,51727.5,52145.3,51755.5,51511.3,51544.8,51793.9,52616.8,52650.5,53336.1,53073.8,52435.5,53550.1,53162.8,53672.1,54491,54561,55438.2,56166.5,57016,56364.2,57353.3,57794.4,58590.8,58542.1,59833.8,59925.7,60714.2,61191.7,61430.1,62370.6,63168.6,63697.9,64746.4,65434.3,65545.5,66589.8,67137.9
Michigan,392832.7,394652.3,393789.4,395641.6,392521.3,395820.3,396592.3,396870.2,404282.4,405322.2,406305.7,399032.8,390804.1,388781.9,384051.4,380578.1,360261.3,363538.3,365499.4,373067.9,372355.1,385545.6,394698.2,393904.7,395522.2,396146.3,400438.6,412314.4,414220.2,418078.2,421193.3,421937.9,429157.1,429625.7,433975.2,438112.2,437042.5,447206,454302.6,457959.8,464659.6,473027.4,478702.7,480815.8,482014.8,492089.3,493489.4,499503.3,500147.6,503004.7,506250.1,512842.3,519926,526008.7,530613.5,531835,534426.7,539231.7
Minnesota,238803.4,240523.2,246503.5,245620.7,247639.3,251120.5,249202.5,250977.5,253486.8,258973.1,260097.9,262751,263548.6,264061.2,268619.1,262523.1,258308.1,258080.2,258979.4,264467.1,263909.2,268724.2,273486.3,281165.1,278391.7,285157.7,284905.9,286773.8,291519.2,293038,295924.9,296704.2,300937.4,303141.8,309084.8,311448.1,311899.2,318912,324124.4,324179.3,327207.7,327639.7,330535.3,332589.9,331297.7,336145.1,343333.5,345624.2,349261.5,349757.5,350522.3,356125.8,360356.8,367676.1,372694.5,374682.1,375032.1,379387.3
Montana,29759.4,29951.1,30700.8,31707.5,31827.7,32528.3,33401.6,33975.6,35190.4,36003.3,36274.5,36828.1,36833.9,37196.1,37212.2,36207.9,35904.6,35573.2,36106.7,36351.2,37607.9,37725.9,38117.9,38766.6,39711.8,40342.3,40680.3,41582.9,41892.8,41703.2,42095,42332.2,43038.6,43003.4,43258.2,43263.9,43410,44428.7,44906.4,45237.8,46017.4,46554.9,46533.9,45505.3,45151.9,45005.2,45379.5,46295.2,46735.7,47477.2,47783.2,48240.2,49190.4,50111,50615.5,51389.5,51326,51932.7
New Mexico,72148.1,73152,73994.8,75441.7,76771.8,77172.1,77569.5,78191.1,78518.9,80243.2,81583.5,81945.6,81702.1,84274.2,84911,84009.5,82153.6,81137.4,81785.1,82993.5,82998.7,82945.4,83715.4,86297.1,84306,86643.2,87212,88339,87898.7,88527.4,87342.8,86637.4,87674.4,87921.7,88604.2,89444.4,90124.2,92139,93506.6,94153.1,90896.7,91432.3,91081.1,90466,89268.9,91082.9,91447.9,92374.7,93027.8,93373.3,94555.5,96111.9,97488.9,99742.1,101585.8,102370.5,102579.1,103814
New York,990783.8,1005652.3,1022931.6,1040817.5,1065894.4,1067148.4,1066409.1,1086120.4,1132679,1102821.1,1103950.7,1096133.3,1109751.6,1095270.6,1103284.3,1088631.2,1105235,1152232.9,1166723.5,1187057,1205081.8,1230182.8,1214906.1,1205617,1232852.8,1227128.4,1232761.5,1251503,1285456.5,1313949.7,1334240.5,1356145.1,1329182.4,1344420.3,1360840.3,1387882.4,1391893,1414488.4,1441665.2,1461934.3,1469900.6,1495699.9,1503449.4,1481966.4,1525136.4,1541157.5,1539131.7,1552795.3,1587759.4,1586852.6,1605534.5,1636387.8,1643465.7,1668085.1,1683970,1679944,1707519.5,1727702.6
