Date,Value,Anomaly
199601,24.0,1.9
199602,27.0,0.2
199603,34.8,2.0
199604,41.4,0.3
199605,46.5,-3.0
199606,58.3,1.5
199607,67.0,1.7
199608,64.5,0.8
199609,52.5,-2.4
199610,43.4,-0.8
199611,33.4,1.9
199612,25.3,1.1
199701,24.1,2.0
199702,26.8,0.0
199703,34.6,1.8
199704,38.5,-2.6
199705,52.3,2.8
199706,57.2,0.4
199707,62.9,-2.4
199708,65.0,1.3
199709,57.4,2.5
199710,42.8,-1.4
199711,33.8,2.3
199712,23.4,-0.8
199801,27.9,5.8
199802,29.4,2.6
199803,34.0,1.2
199804,41.3,0.2
199805,49.0,-0.5
199806,53.6,-3.2
199807,69.1,3.8
199808,67.0,3.3
199809,60.4,5.5
199810,43.3,-0.9
199811,34.3,2.8
199812,22.6,-1.6
199901,27.1,5.0
199902,27.0,0.2
199903,33.8,1.0
199904,38.7,-2.4
199905,46.6,-2.9
199906,55.6,-1.2
199907,63.7,-1.6
199908,65.4,1.7
199909,54.2,-0.7
199910,46.2,2.0
199911,38.8,7.3
199912,25.9,1.7
200001,25.7,3.6
200002,32.0,5.2
200003,34.5,1.7
200004,45.3,4.2
200005,50.3,0.8
200006,58.6,1.8
200007,66.5,1.2
200008,66.3,2.6
200009,54.0,-0.9
200010,44.1,-0.1
200011,25.7,-5.8
200012,24.2,0.0
200101,23.0,0.9
200102,25.1,-1.7
200103,36.6,3.8
200104,40.1,-1.0
200105,52.6,3.1
200106,57.4,0.6
200107,65.6,0.3
200108,68.2,4.5
200109,59.4,4.5
200110,44.6,0.4
200111,36.2,4.7
200112,22.1,-2.1
200201,23.2,1.1
200202,23.9,-2.9
200203,30.1,-2.7
200204,41.5,0.4
200205,48.7,-0.8
200206,58.8,2.0
200207,69.0,3.7
200208,61.8,-1.9
200209,55.9,1.0
200210,41.0,-3.2
200211,32.8,1.3
200212,28.8,4.6
200301,31.4,9.3
200302,27.1,0.3
200303,36.3,3.5
200304,40.8,-0.3
200305,49.9,0.4
200306,59.1,2.3
200307,70.4,5.1
200308,67.7,4.0
200309,56.7,1.8
200310,48.7,4.5
200311,28.2,-3.3
200312,28.1,3.9
200401,22.8,0.7
200402,26.3,-0.5
200403,39.3,6.5
200404,44.6,3.5
200405,48.9,-0.6
200406,58.4,1.6
200407,66.3,1.0
200408,63.7,0.0
200409,53.7,-1.2
200410,44.6,0.4
200411,32.7,1.2
200412,28.5,4.3
200501,26.5,4.4
200502,28.5,1.7
200503,35.9,3.1
200504,41.7,0.6
200505,49.9,0.4
200506,54.3,-2.5
200507,66.8,1.5
200508,64.8,1.1
200509,54.1,-0.8
200510,45.5,1.3
200511,32.0,0.5
200512,23.0,-1.2
200601,27.9,5.8
200602,24.4,-2.4
200603,32.4,-0.4
200604,42.8,1.7
200605,51.8,2.3
200606,60.6,3.8
200607,70.1,4.8
200608,63.7,0.0
200609,55.1,0.2
200610,43.0,-1.2
200611,33.1,1.6
200612,25.3,1.1
200701,20.7,-1.4
200702,30.8,4.0
200703,38.9,6.1
200704,43.0,1.9
200705,52.0,2.5
200706,59.6,2.8
200707,72.0,6.7
200708,65.4,1.7
200709,54.9,0.0
200710,43.1,-1.1
200711,33.5,2.0
200712,23.4,-0.8
200801,19.9,-2.2
200802,27.6,0.8
200803,30.3,-2.5
200804,36.3,-4.8
200805,48.9,-0.6
200806,56.3,-0.5
200807,66.5,1.2
200808,64.8,1.1
200809,55.5,0.6
200810,44.5,0.3
200811,37.1,5.6
200812,22.6,-1.6
200901,25.0,2.9
200902,27.6,0.8
200903,31.4,-1.4
200904,40.7,-0.4
200905,50.8,1.3
200906,56.3,-0.5
200907,65.8,0.5
200908,63.8,0.1
200909,60.1,5.2
200910,39.5,-4.7
200911,33.0,1.5
200912,19.8,-4.4
201001,28.2,6.1
201002,28.9,2.1
201003,35.2,2.4
201004,40.0,-1.1
201005,44.1,-5.4
201006,55.5,-1.3
201007,64.2,-1.1
201008,62.8,-0.9
201009,56.4,1.5
201010,47.5,3.3
201011,30.5,-1.0
201012,26.6,2.4
201101,24.0,1.9
201102,24.3,-2.5
201103,33.4,0.6
201104,36.4,-4.7
201105,45.8,-3.7
201106,54.0,-2.8
201107,64.3,-1.0
201108,66.1,2.4
201109,59.6,4.7
201110,45.4,1.2
201111,30.5,-1.0
201112,24.8,0.6
201201,26.8,4.7
201202,28.0,1.2
201203,36.4,3.6
201204,44.4,3.3
201205,49.0,-0.5
201206,56.9,0.1
201207,68.5,3.2
201208,67.3,3.6
201209,58.4,3.5
201210,43.7,-0.5
201211,36.0,4.5
201212,25.8,1.6
201301,20.2,-1.9
201302,27.5,0.7
201303,35.1,2.3
201304,40.1,-1.0
201305,51.0,1.5
201306,59.3,2.5
201307,69.6,4.3
201308,67.6,3.9
201309,57.1,2.2
201310,42.1,-2.1
201311,33.8,2.3
201312,21.1,-3.1
201401,27.7,5.6
201402,28.0,1.2
201403,36.2,3.4
201404,41.6,0.5
201405,51.6,2.1
201406,56.7,-0.1
201407,69.3,4.0
201408,63.8,0.1
201409,57.6,2.7
201410,48.5,4.3
201411,31.1,-0.4
201412,29.1,4.9
201501,28.7,6.6
201502,35.2,8.4
201503,40.8,8.0
201504,42.3,1.2
201505,51.8,2.3
201506,64.7,7.9
201507,65.1,-0.2
201508,65.8,2.1
201509,57.2,2.3
201510,50.7,6.5
201511,29.9,-1.6
201512,24.3,0.1
201601,25.8,3.7
201602,31.9,5.1
201603,37.0,4.2
201604,47.0,5.9
201605,50.6,1.1
201606,61.2,4.4
201607,64.8,-0.5
201608,64.7,1.0
201609,54.6,-0.3
201610,45.7,1.5
201611,38.7,7.2
201612,19.1,-5.1
201701,18.5,-3.6
201702,29.5,2.7
201703,38.5,5.7
201704,40.3,-0.8
201705,50.6,1.1
201706,59.1,2.3
201707,70.0,4.7
201708,66.9,3.2
201709,55.7,0.8
201710,41.9,-2.3
201711,34.9,3.4
201712,25.2,1.0
201801,30.4,8.3
201802,26.2,-0.6
201803,33.7,0.9
201804,42.4,1.3
201805,54.0,4.5
201806,57.7,0.9
201807,68.3,3.0
201808,65.0,1.3
201809,56.2,1.3
201810,44.0,-0.2
201811,32.0,0.5
201812,24.3,0.1
201901,26.2,4.1
201902,23.1,-3.7
201903,32.4,-0.4
201904,42.9,1.8
201905,49.7,0.2
201906,57.2,0.4
201907,65.5,0.2
201908,65.9,2.2
201909,54.9,0.0
201910,36.5,-7.7
201911,34.6,3.1
