Date,Value,Anomaly
199601,13.7,0.1
199602,16.9,1.1
199603,25.4,-0.8
199604,39.1,0.7
199605,48.7,-2.0
199606,61.2,1.0
199607,64.3,-1.1
199608,64.2,0.7
199609,55.9,0.9
199610,43.3,-1.0
199611,30.8,-2.0
199612,28.2,9.1
199701,13.8,0.2
199702,18.2,2.4
199703,22.8,-3.4
199704,36.8,-1.6
199705,46.8,-3.9
199706,60.7,0.5
199707,65.6,0.2
199708,62.8,-0.7
199709,54.9,-0.1
199710,43.2,-1.1
199711,31.3,-1.5
199712,20.8,1.7
199801,17.8,4.2
199802,24.2,8.4
199803,29.6,3.4
199804,41.4,3.0
199805,56.5,5.8
199806,59.7,-0.5
199807,66.1,0.7
199808,64.8,1.3
199809,56.7,1.7
199810,45.2,0.9
199811,33.7,0.9
199812,26.2,7.1
199901,14.3,0.7
199902,21.4,5.6
199903,31.0,4.8
199904,40.4,2.0
199905,55.4,4.7
199906,64.8,4.6
199907,67.8,2.4
199908,63.9,0.4
199909,61.7,6.7
199910,42.4,-1.9
199911,37.3,4.5
199912,25.2,6.1
200001,14.1,0.5
200002,18.2,2.4
200003,32.6,6.4
200004,39.1,0.7
200005,49.5,-1.2
200006,59.4,-0.8
200007,63.0,-2.4
200008,63.1,-0.4
200009,54.5,-0.5
200010,44.6,0.3
200011,35.6,2.8
200012,17.5,-1.6
200101,14.0,0.4
200102,16.0,0.2
200103,24.2,-2.0
200104,38.1,-0.3
200105,54.4,3.7
200106,63.0,2.8
200107,64.2,-1.2
200108,67.0,3.5
200109,57.7,2.7
200110,47.1,2.8
200111,37.4,4.6
200112,28.7,9.6
200201,21.0,7.4
200202,20.4,4.6
200203,26.9,0.7
200204,39.9,1.5
200205,48.8,-1.9
200206,58.3,-1.9
200207,65.6,0.2
200208,66.7,3.2
200209,59.3,4.3
200210,41.7,-2.6
200211,30.7,-2.1
200212,21.1,2.0
200301,9.2,-4.4
200302,12.2,-3.6
200303,24.2,-2.0
200304,35.7,-2.7
200305,49.6,-1.1
200306,61.2,1.0
200307,65.9,0.5
200308,66.0,2.5
200309,58.4,3.4
200310,44.6,0.3
200311,35.4,2.6
200312,23.0,3.9
200401,6.4,-7.2
200402,18.0,2.2
200403,28.7,2.5
200404,39.6,1.2
200405,51.9,1.2
200406,57.5,-2.7
200407,64.6,-0.8
200408,64.6,1.1
200409,56.2,1.2
200410,45.5,1.2
200411,33.2,0.4
200412,19.1,0.0
200501,11.5,-2.1
200502,19.6,3.8
200503,25.0,-1.2
200504,41.1,2.7
200505,47.2,-3.5
200506,63.2,3.0
200507,66.6,1.2
200508,65.5,2.0
200509,58.5,3.5
200510,47.2,2.9
200511,35.3,2.5
200512,21.3,2.2
200601,22.6,9.0
200602,19.0,3.2
200603,29.0,2.8
200604,42.3,3.9
200605,53.2,2.5
200606,63.3,3.1
200607,68.9,3.5
200608,61.7,-1.8
200609,56.1,1.1
200610,44.9,0.6
200611,38.9,6.1
200612,27.8,8.7
200701,17.3,3.7
200702,11.6,-4.2
200703,25.8,-0.4
200704,37.0,-1.4
200705,51.2,0.5
200706,61.1,0.9
200707,64.6,-0.8
200708,63.5,0.0
200709,57.2,2.2
200710,49.6,5.3
200711,31.7,-1.1
200712,18.0,-1.1
200801,18.6,5.0
200802,18.5,2.7
200803,23.1,-3.1
200804,41.5,3.1
200805,50.0,-0.7
200806,61.2,1.0
200807,67.7,2.3
200808,63.1,-0.4
200809,56.2,1.2
200810,44.2,-0.1
200811,35.0,2.2
200812,20.2,1.1
200901,7.9,-5.7
200902,18.9,3.1
200903,26.2,0.0
200904,41.9,3.5
200905,51.1,0.4
200906,58.7,-1.5
200907,63.0,-2.4
200908,66.1,2.6
200909,54.9,-0.1
200910,41.2,-3.1
200911,38.5,5.7
200912,21.9,2.8
201001,20.3,6.7
201002,24.6,8.8
201003,34.6,8.4
201004,44.9,6.5
201005,54.6,3.9
201006,60.8,0.6
201007,69.2,3.8
201008,65.2,1.7
201009,58.3,3.3
201010,45.2,0.9
201011,34.5,1.7
201012,23.4,4.3
201101,15.9,2.3
201102,16.2,0.4
201103,26.8,0.6
201104,39.0,0.6
201105,51.9,1.2
201106,60.2,0.0
201107,67.6,2.2
201108,64.8,1.3
201109,59.0,4.0
201110,47.6,3.3
201111,38.8,6.0
201112,26.0,6.9
201201,18.2,4.6
201202,21.4,5.6
201203,34.3,8.1
201204,42.2,3.8
201205,53.8,3.1
201206,60.2,0.0
201207,67.6,2.2
201208,67.4,3.9
201209,55.9,0.9
201210,48.2,3.9
201211,32.7,-0.1
201212,24.4,5.3
201301,15.8,2.2
201302,20.0,4.2
201303,30.3,4.1
201304,39.1,0.7
201305,52.3,1.6
201306,60.8,0.6
201307,68.3,2.9
201308,63.7,0.2
201309,56.7,1.7
201310,47.3,3.0
201311,32.3,-0.5
201312,17.0,-2.1
201401,14.2,0.6
201402,15.7,-0.1
201403,18.1,-8.1
201404,38.7,0.3
201405,51.7,1.0
201406,61.6,1.4
201407,67.2,1.8
201408,64.4,0.9
201409,56.4,1.4
201410,48.5,4.2
201411,31.8,-1.0
201412,26.0,6.9
201501,11.7,-1.9
201502,5.2,-10.6
201503,21.6,-4.6
201504,37.8,-0.6
201505,55.7,5.0
201506,57.5,-2.7
201507,64.8,-0.6
201508,67.2,3.7
201509,61.8,6.8
201510,43.2,-1.1
201511,37.0,4.2
201512,31.2,12.1
201601,20.1,6.5
201602,21.9,6.1
201603,29.2,3.0
201604,37.3,-1.1
201605,52.8,2.1
201606,60.5,0.3
201607,67.0,1.6
201608,66.6,3.1
201609,59.1,4.1
201610,46.9,2.6
201611,37.2,4.4
201612,20.5,1.4
201701,21.5,7.9
201702,20.6,4.8
201703,22.2,-4.0
201704,42.0,3.6
201705,50.7,0.0
201706,61.0,0.8
201707,65.2,-0.2
201708,63.3,-0.2
201709,61.1,6.1
201710,52.0,7.7
201711,32.4,-0.4
201712,16.4,-2.7
201801,15.0,1.4
201802,22.7,6.9
201803,28.9,2.7
201804,36.5,-1.9
201805,53.5,2.8
201806,59.0,-1.2
201807,68.8,3.4
201808,68.0,4.5
201809,57.9,2.9
201810,41.9,-2.4
201811,28.6,-4.2
201812,20.4,1.3
201901,14.1,0.5
201902,16.3,0.5
201903,24.6,-1.6
201904,38.8,0.4
201905,48.0,-2.7
201906,59.4,-0.8
201907,68.3,2.9
201908,64.5,1.0
201909,55.4,0.4
201910,46.3,2.0
201911,29.8,-3.0
