Date,Value,Anomaly
199601,16.7,-1.7
199602,19.0,-1.1
199603,25.0,-4.2
199604,38.3,-3.8
199605,51.2,-2.6
199606,64.3,0.8
199607,64.8,-3.4
199608,67.4,1.2
199609,59.5,1.0
199610,47.7,0.1
199611,30.5,-4.2
199612,25.6,2.0
199701,17.5,-0.9
199702,23.5,3.4
199703,29.6,0.4
199704,40.4,-1.7
199705,47.4,-6.4
199706,65.6,2.1
199707,67.4,-0.8
199708,63.1,-3.1
199709,58.5,0.0
199710,47.3,-0.3
199711,33.1,-1.6
199712,29.0,5.4
199801,24.8,6.4
199802,32.0,11.9
199803,32.8,3.6
199804,45.7,3.6
199805,60.4,6.6
199806,63.8,0.3
199807,68.8,0.6
199808,69.0,2.8
199809,62.6,4.1
199810,50.1,2.5
199811,39.2,4.5
199812,29.8,6.2
199901,17.7,-0.7
199902,27.3,7.2
199903,30.4,1.2
199904,45.8,3.7
199905,57.7,3.9
199906,66.4,2.9
199907,71.8,3.6
199908,65.3,-0.9
199909,59.7,1.2
199910,46.4,-1.2
199911,41.0,6.3
199912,26.9,3.3
200001,19.3,0.9
200002,26.5,6.4
200003,38.8,9.6
200004,42.4,0.3
200005,56.6,2.8
200006,63.5,0.0
200007,66.1,-2.1
200008,66.1,-0.1
200009,58.0,-0.5
200010,50.8,3.2
200011,36.2,1.5
200012,15.9,-7.7
200101,23.4,5.0
200102,22.1,2.0
200103,29.4,0.2
200104,46.1,4.0
200105,57.2,3.4
200106,64.4,0.9
200107,68.4,0.2
200108,69.6,3.4
200109,57.7,-0.8
200110,47.8,0.2
200111,43.6,8.9
200112,31.9,8.3
200201,27.5,9.1
200202,27.4,7.3
200203,27.4,-1.8
200204,43.4,1.3
200205,49.7,-4.1
200206,65.6,2.1
200207,72.4,4.2
200208,68.0,1.8
200209,63.3,4.8
200210,44.5,-3.1
200211,33.7,-1.0
200212,26.0,2.4
200301,16.7,-1.7
200302,16.3,-3.8
200303,29.3,0.1
200304,41.4,-0.7
200305,52.8,-1.0
200306,62.1,-1.4
200307,67.8,-0.4
200308,68.8,2.6
200309,59.5,1.0
200310,46.6,-1.0
200311,37.7,3.0
200312,28.6,5.0
200401,14.3,-4.1
200402,22.6,2.5
200403,34.5,5.3
200404,44.2,2.1
200405,53.8,0.0
200406,62.0,-1.5
200407,66.4,-1.8
200408,63.2,-3.0
200409,63.3,4.8
200410,49.0,1.4
200411,38.2,3.5
200412,23.5,-0.1
200501,18.0,-0.4
200502,25.2,5.1
200503,27.3,-1.9
200504,46.4,4.3
200505,52.0,-1.8
200506,69.4,5.9
200507,70.4,2.2
200508,68.9,2.7
200509,63.7,5.2
200510,50.6,3.0
200511,37.5,2.8
200512,23.1,-0.5
200601,29.9,11.5
200602,22.5,2.4
200603,32.4,3.2
200604,47.5,5.4
200605,56.1,2.3
200606,64.3,0.8
200607,71.4,3.2
200608,67.7,1.5
200609,57.3,-1.2
200610,44.7,-2.9
200611,38.9,4.2
200612,31.5,7.9
200701,24.1,5.7
200702,15.2,-4.9
200703,34.8,5.6
200704,41.8,-0.3
200705,57.8,4.0
200706,67.1,3.6
200707,68.0,-0.2
200708,68.8,2.6
200709,61.8,3.3
200710,54.4,6.8
200711,35.2,0.5
200712,24.1,0.5
200801,22.8,4.4
200802,18.2,-1.9
200803,27.0,-2.2
200804,45.7,3.6
200805,51.2,-2.6
200806,64.8,1.3
200807,68.3,0.1
200808,66.5,0.3
200809,60.6,2.1
200810,46.8,-0.8
200811,35.7,1.0
200812,20.8,-2.8
200901,12.6,-5.8
200902,22.9,2.8
200903,31.6,2.4
200904,43.1,1.0
200905,53.7,-0.1
200906,62.5,-1.0
200907,63.5,-4.7
200908,65.4,-0.8
200909,60.8,2.3
200910,44.6,-3.0
200911,41.0,6.3
200912,23.6,0.0
201001,21.3,2.9
201002,23.1,3.0
201003,37.6,8.4
201004,49.0,6.9
201005,58.3,4.5
201006,64.9,1.4
201007,71.4,3.2
201008,70.7,4.5
201009,58.1,-0.4
201010,49.9,2.3
201011,37.8,3.1
201012,22.8,-0.8
201101,16.9,-1.5
201102,21.3,1.2
201103,28.8,-0.4
201104,42.0,-0.1
201105,55.0,1.2
201106,64.2,0.7
201107,72.7,4.5
201108,68.3,2.1
201109,58.7,0.2
201110,49.7,2.1
201111,39.9,5.2
201112,29.9,6.3
201201,25.1,6.7
201202,28.4,8.3
201203,44.7,15.5
201204,43.9,1.8
201205,59.0,5.2
201206,66.5,3.0
201207,73.5,5.3
201208,67.5,1.3
201209,58.4,-0.1
201210,47.5,-0.1
201211,36.2,1.5
201212,30.4,6.8
201301,23.0,4.6
201302,20.9,0.8
201303,27.8,-1.4
201304,39.5,-2.6
201305,56.5,2.7
201306,63.8,0.3
201307,68.8,0.6
201308,66.6,0.4
201309,59.5,1.0
201310,48.8,1.2
201311,34.2,-0.5
201312,19.3,-4.3
201401,12.3,-6.1
201402,12.7,-7.4
201403,21.0,-8.2
201404,41.2,-0.9
201405,54.6,0.8
201406,65.2,1.7
201407,64.8,-3.4
201408,66.0,-0.2
201409,58.8,0.3
201410,47.5,-0.1
201411,30.3,-4.4
201412,28.2,4.6
201501,16.6,-1.8
201502,8.0,-12.1
201503,28.6,-0.6
201504,43.2,1.1
201505,57.2,3.4
201506,62.5,-1.0
201507,67.9,-0.3
201508,66.9,0.7
201509,64.6,6.1
201510,48.9,1.3
201511,41.3,6.6
201512,35.6,12.0
201601,22.3,3.9
201602,25.3,5.2
201603,36.1,6.9
201604,40.8,-1.3
201605,55.4,1.6
201606,64.7,1.2
201607,70.3,2.1
201608,70.8,4.6
201609,63.5,5.0
201610,51.6,4.0
201611,42.6,7.9
201612,25.0,1.4
201701,25.2,6.8
201702,29.9,9.8
201703,30.7,1.5
201704,47.2,5.1
201705,53.0,-0.8
201706,65.3,1.8
201707,68.5,0.3
201708,65.2,-1.0
201709,62.6,4.1
201710,52.5,4.9
201711,34.5,-0.2
201712,20.9,-2.7
201801,20.0,1.6
201802,23.0,2.9
201803,29.6,0.4
201804,35.3,-6.8
201805,60.3,6.5
201806,65.2,1.7
201807,70.5,2.3
201808,69.8,3.6
201809,62.4,3.9
201810,46.0,-1.6
201811,30.8,-3.9
201812,28.7,5.1
201901,16.8,-1.6
201902,19.9,-0.2
201903,27.5,-1.7
201904,42.5,0.4
201905,51.8,-2.0
201906,62.5,-1.0
201907,71.0,2.8
201908,66.3,0.1
201909,62.2,3.7
201910,47.5,-0.1
201911,30.8,-3.9
