Date,Value,Anomaly
199601,1.0,-5.8
199602,12.0,-1.0
199603,19.3,-6.2
199604,36.5,-5.0
199605,51.6,-3.0
199606,65.3,1.4
199607,66.4,-2.6
199608,67.4,0.7
199609,57.6,0.8
199610,45.2,0.0
199611,20.3,-7.4
199612,8.8,-4.3
199701,4.5,-2.3
199702,15.0,2.0
199703,24.0,-1.5
199704,38.8,-2.7
199705,49.6,-5.0
199706,67.0,3.1
199707,68.0,-1.0
199708,64.9,-1.8
199709,59.9,3.1
199710,46.3,1.1
199711,24.9,-2.8
199712,23.9,10.8
199801,14.0,7.2
199802,28.8,15.8
199803,27.5,2.0
199804,46.8,5.3
199805,60.4,5.8
199806,62.1,-1.8
199807,69.0,0.0
199808,68.9,2.2
199809,62.4,5.6
199810,47.7,2.5
199811,31.9,4.2
199812,19.4,6.3
199901,7.6,0.8
199902,23.2,10.2
199903,30.4,4.9
199904,44.7,3.2
199905,56.8,2.2
199906,64.4,0.5
199907,71.3,2.3
199908,66.3,-0.4
199909,56.4,-0.4
199910,44.2,-1.0
199911,37.6,9.9
199912,21.4,8.3
200001,10.3,3.5
200002,22.8,9.8
200003,36.4,10.9
200004,42.2,0.7
200005,56.7,2.1
200006,61.5,-2.4
200007,68.6,-0.4
200008,67.6,0.9
200009,56.6,-0.2
200010,48.2,3.0
200011,28.4,0.7
200012,2.5,-10.6
200101,16.0,9.2
200102,6.7,-6.3
200103,24.2,-1.3
200104,43.4,1.9
200105,56.6,2.0
200106,65.1,1.2
200107,70.4,1.4
200108,69.3,2.6
200109,57.4,0.6
200110,44.5,-0.7
200111,40.7,13.0
200112,22.3,9.2
200201,18.1,11.3
200202,23.8,10.8
200203,19.5,-6.0
200204,40.4,-1.1
200205,49.8,-4.8
200206,67.0,3.1
200207,72.2,3.2
200208,66.5,-0.2
200209,60.5,3.7
200210,37.7,-7.5
200211,27.8,0.1
200212,21.2,8.1
200301,10.1,3.3
200302,9.9,-3.1
200303,25.8,0.3
200304,43.4,1.9
200305,54.3,-0.3
200306,63.6,-0.3
200307,68.8,-0.2
200308,70.2,3.5
200309,57.9,1.1
200310,47.0,1.8
200311,26.6,-1.1
200312,20.6,7.5
200401,5.1,-1.7
200402,16.7,3.7
200403,30.9,5.4
200404,43.7,2.2
200405,51.2,-3.4
200406,60.7,-3.2
200407,66.7,-2.3
200408,60.9,-5.8
200409,62.1,5.3
200410,46.8,1.6
200411,34.0,6.3
