Date,Value,Anomaly
199601,11.3,-5.6
199602,23.1,0.8
199603,24.2,-5.6
199604,41.7,0.9
199605,45.9,-4.7
199606,60.5,2.1
199607,66.0,0.1
199608,66.5,2.1
199609,52.6,-1.4
199610,41.8,-1.5
199611,22.3,-7.0
199612,15.0,-6.0
199701,14.3,-2.6
199702,26.0,3.7
199703,31.8,2.0
199704,36.0,-4.8
199705,51.0,0.4
199706,60.6,2.2
199707,64.4,-1.5
199708,64.8,0.4
199709,58.1,4.1
199710,43.4,0.1
199711,30.4,1.1
199712,25.8,4.8
199801,19.0,2.1
199802,30.4,8.1
199803,28.9,-0.9
199804,43.7,2.9
199805,52.7,2.1
199806,54.4,-4.0
199807,69.1,3.2
199808,68.1,3.7
199809,61.4,7.4
199810,44.2,0.9
199811,33.1,3.8
199812,21.2,0.2
199901,22.2,5.3
199902,30.2,7.9
199903,35.2,5.4
199904,40.0,-0.8
199905,48.7,-1.9
199906,57.0,-1.4
199907,64.0,-1.9
199908,66.4,2.0
199909,51.6,-2.4
199910,44.7,1.4
199911,39.0,9.7
199912,29.5,8.5
200001,22.1,5.2
200002,26.9,4.6
200003,35.5,5.7
200004,43.2,2.4
200005,51.5,0.9
200006,58.0,-0.4
200007,68.4,2.5
200008,66.8,2.4
200009,54.4,0.4
200010,43.5,0.2
200011,22.1,-7.2
200012,15.8,-5.2
200101,24.6,7.7
200102,16.5,-5.8
200103,33.8,4.0
200104,41.1,0.3
200105,53.3,2.7
200106,58.4,0.0
200107,67.1,1.2
200108,68.9,4.5
200109,58.7,4.7
200110,42.7,-0.6
200111,36.3,7.0
200112,22.4,1.4
200201,22.7,5.8
200202,26.4,4.1
200203,19.8,-10.0
200204,37.6,-3.2
200205,47.5,-3.1
200206,59.5,1.1
200207,69.6,3.7
200208,61.3,-3.1
200209,55.7,1.7
200210,36.6,-6.7
200211,33.8,4.5
200212,26.8,5.8
200301,24.7,7.8
200302,21.4,-0.9
200303,29.8,0.0
200304,44.1,3.3
200305,50.1,-0.5
200306,58.4,0.0
200307,70.3,4.4
200308,70.0,5.6
200309,54.6,0.6
200310,47.5,4.2
200311,24.0,-5.3
200312,25.1,4.1
200401,17.0,0.1
200402,24.1,1.8
200403,37.5,7.7
200404,44.3,3.5
200405,48.1,-2.5
200406,56.1,-2.3
200407,66.1,0.2
200408,62.4,-2.0
200409,54.1,0.1
200410,43.1,-0.2
200411,33.6,4.3
200412,27.4,6.4
200501,18.1,1.2
200502,28.9,6.6
200503,34.6,4.8
200504,42.7,1.9
200505,49.0,-1.6
200506,57.7,-0.7
200507,67.6,1.7
200508,63.9,-0.5
200509,55.4,1.4
200510,45.1,1.8
200511,33.2,3.9
200512,20.5,-0.5
200601,31.4,14.5
200602,23.4,1.1
200603,30.6,0.8
200604,44.9,4.1
200605,52.9,2.3
200606,61.6,3.2
200607,71.2,5.3
200608,65.5,1.1
200609,54.8,0.8
200610,40.4,-2.9
200611,30.3,1.0
200612,25.5,4.5
200701,21.8,4.9
200702,22.0,-0.3
200703,38.9,9.1
200704,40.9,0.1
200705,52.1,1.5
200706,60.7,2.3
200707,73.3,7.4
200708,65.8,1.4
200709,55.0,1.0
200710,44.6,1.3
200711,31.6,2.3
200712,21.6,0.6
200801,18.1,1.2
200802,24.2,1.9
200803,31.2,1.4
200804,37.6,-3.2
200805,49.6,-1.0
200806,56.7,-1.7
200807,66.5,0.6
200808,65.6,1.2
200809,53.6,-0.4
200810,43.7,0.4
200811,35.8,6.5
200812,14.0,-7.0
200901,21.1,4.2
200902,25.1,2.8
200903,28.3,-1.5
200904,39.8,-1.0
200905,50.5,-0.1
200906,56.6,-1.8
200907,64.6,-1.3
200908,63.4,-1.0
200909,60.7,6.7
200910,36.4,-6.9
200911,35.2,5.9
200912,12.0,-9.0
201001,20.6,3.7
201002,21.1,-1.2
201003,36.2,6.4
201004,41.6,0.8
201005,46.3,-4.3
201006,57.5,-0.9
201007,64.3,-1.6
201008,63.8,-0.6
201009,54.1,0.1
201010,47.6,4.3
201011,26.6,-2.7
201012,19.0,-2.0
201101,19.1,2.2
201102,16.4,-5.9
201103,28.6,-1.2
201104,37.7,-3.1
201105,47.1,-3.5
201106,56.3,-2.1
201107,66.6,0.7
201108,66.8,2.4
201109,58.3,4.3
201110,45.9,2.6
201111,30.0,0.7
201112,26.2,5.2
201201,25.1,8.2
201202,24.9,2.6
201203,39.4,9.6
201204,44.8,4.0
201205,49.5,-1.1
201206,60.2,1.8
201207,70.7,4.8
201208,66.7,2.3
201209,58.2,4.2
201210,41.0,-2.3
201211,32.4,3.1
201212,21.5,0.5
201301,21.7,4.8
201302,27.4,5.1
201303,30.5,0.7
201304,36.9,-3.9
201305,51.9,1.3
201306,59.0,0.6
201307,67.5,1.6
201308,67.3,2.9
201309,58.8,4.8
201310,40.8,-2.5
201311,30.4,1.1
201312,16.4,-4.6
201401,24.5,7.6
201402,14.7,-7.6
201403,29.4,-0.4
201404,41.0,0.2
201405,51.1,0.5
201406,56.5,-1.9
201407,67.6,1.7
201408,64.8,0.4
201409,55.1,1.1
201410,47.9,4.6
201411,25.3,-4.0
201412,25.0,4.0
201501,24.7,7.8
201502,26.9,4.6
201503,39.5,9.7
201504,42.8,2.0
201505,49.6,-1.0
201506,63.8,5.4
201507,66.2,0.3
201508,65.9,1.5
201509,57.3,3.3
201510,48.0,4.7
201511,30.0,0.7
201512,23.6,2.6
201601,23.4,6.5
201602,33.6,11.3
201603,37.4,7.6
201604,45.0,4.2
201605,51.0,0.4
201606,62.4,4.0
201607,65.9,0.0
201608,64.4,0.0
201609,54.8,0.8
201610,44.3,1.0
201611,39.1,9.8
201612,14.2,-6.8
201701,15.2,-1.7
201702,25.4,3.1
201703,35.8,6.0
201704,42.1,1.3
201705,52.3,1.7
201706,60.6,2.2
201707,71.6,5.7
201708,65.5,1.1
201709,55.2,1.2
201710,42.6,-0.7
201711,30.7,1.4
201712,21.1,0.1
201801,21.7,4.8
201802,11.4,-10.9
201803,28.2,-1.6
201804,37.9,-2.9
201805,55.6,5.0
201806,59.2,0.8
201807,66.8,0.9
201808,64.5,0.1
201809,53.0,-1.0
201810,41.6,-1.7
201811,30.2,0.9
201812,25.0,4.0
201901,24.7,7.8
201902,5.1,-17.2
201903,25.1,-4.7
201904,41.8,1.0
201905,47.7,-2.9
201906,58.6,0.2
201907,65.0,-0.9
201908,64.8,0.4
201909,55.1,1.1
201910,35.5,-7.8
201911,29.4,0.1
