Date,Value,Anomaly
199601,36.3,2.8
199602,42.9,5.0
199603,43.4,0.0
199604,53.2,1.6
199605,66.7,6.3
199606,72.0,2.7
199607,73.8,0.9
199608,71.0,0.1
199609,62.3,-2.3
199610,53.6,-0.7
199611,43.9,1.9
199612,37.0,2.3
199701,32.9,-0.6
199702,36.9,-1.0
199703,47.4,4.0
199704,48.5,-3.1
199705,61.4,1.0
199706,68.5,-0.8
199707,72.9,0.0
199708,71.6,0.7
199709,67.9,3.3
199710,53.7,-0.6
199711,41.8,-0.2
199712,31.3,-3.4
199801,37.1,3.6
199802,37.3,-0.6
199803,43.1,-0.3
199804,48.3,-3.3
199805,61.8,1.4
199806,69.9,0.6
199807,74.3,1.4
199808,71.5,0.6
199809,68.9,4.3
199810,55.4,1.1
199811,45.7,3.7
199812,36.9,2.2
199901,39.3,5.8
199902,42.6,4.7
199903,46.9,3.5
199904,50.3,-1.3
199905,59.8,-0.6
199906,68.3,-1.0
199907,72.4,-0.5
199908,71.1,0.2
199909,64.4,-0.2
199910,55.0,0.7
199911,47.7,5.7
199912,34.2,-0.5
200001,38.9,5.4
200002,43.7,5.8
200003,45.7,2.3
200004,55.5,3.9
200005,66.0,5.6
200006,70.7,1.4
200007,74.6,1.7
200008,73.2,2.3
200009,68.0,3.4
200010,53.9,-0.4
200011,37.1,-4.9
200012,35.2,0.5
200101,31.8,-1.7
200102,39.3,1.4
200103,44.4,1.0
200104,54.2,2.6
200105,63.1,2.7
200106,71.5,2.2
200107,75.2,2.3
200108,71.5,0.6
200109,66.7,2.1
200110,56.8,2.5
200111,45.7,3.7
200112,34.7,0.0
200201,36.0,2.5
200202,37.0,-0.9
200203,43.6,0.2
200204,57.3,5.7
200205,62.7,2.3
200206,73.8,4.5
200207,73.8,0.9
200208,73.2,2.3
200209,65.4,0.8
200210,52.8,-1.5
200211,42.5,0.5
200212,34.5,-0.2
200301,40.2,6.7
200302,38.6,0.7
200303,45.1,1.7
200304,52.9,1.3
200305,63.2,2.8
200306,69.2,-0.1
200307,76.8,3.9
200308,73.5,2.6
200309,66.0,1.4
200310,58.9,4.6
200311,44.6,2.6
200312,36.8,2.1
200401,36.6,3.1
200402,35.0,-2.9
200403,49.7,6.3
200404,51.4,-0.2
200405,63.1,2.7
200406,69.9,0.6
200407,72.3,-0.6
200408,69.3,-1.6
200409,63.9,-0.7
200410,54.2,-0.1
200411,41.4,-0.6
200412,35.7,1.0
200501,39.9,6.4
200502,40.1,2.2
200503,43.1,-0.3
200504,51.7,0.1
200505,61.6,1.2
200506,69.8,0.5
200507,75.0,2.1
200508,70.8,-0.1
200509,67.3,2.7
200510,55.2,0.9
200511,45.3,3.3
200512,36.8,2.1
200601,38.2,4.7
200602,40.1,2.2
200603,45.3,1.9
200604,56.2,4.6
200605,65.0,4.6
200606,73.0,3.7
200607,74.6,1.7
200608,70.2,-0.7
200609,60.9,-3.7
200610,53.6,-0.7
200611,45.3,3.3
200612,34.5,-0.2
200701,30.8,-2.7
200702,39.2,1.3
200703,47.6,4.2
200704,51.6,0.0
200705,60.0,-0.4
200706,69.8,0.5
200707,73.3,0.4
200708,73.7,2.8
200709,67.0,2.4
200710,56.5,2.2
200711,46.1,4.1
200712,35.0,0.3
200801,32.5,-1.0
200802,39.6,1.7
200803,44.9,1.5
200804,51.6,0.0
200805,60.2,-0.2
200806,71.9,2.6
200807,72.0,-0.9
200808,71.0,0.1
200809,63.7,-0.9
200810,54.9,0.6
200811,44.6,2.6
200812,36.8,2.1
200901,37.8,4.3
200902,41.8,3.9
200903,47.2,3.8
200904,51.7,0.1
200905,63.6,3.2
200906,69.0,-0.3
200907,74.8,1.9
200908,72.2,1.3
200909,63.9,-0.7
200910,52.5,-1.8
200911,45.2,3.2
200912,31.6,-3.1
201001,33.6,0.1
201002,35.1,-2.8
201003,43.1,-0.3
201004,52.7,1.1
201005,59.9,-0.5
201006,72.6,3.3
201007,73.4,0.5
201008,72.3,1.4
201009,68.3,3.7
201010,56.7,2.4
201011,42.0,0.0
201012,40.4,5.7
201101,33.8,0.3
201102,35.0,-2.9
201103,49.2,5.8
201104,55.6,4.0
201105,59.6,-0.8
201106,73.1,3.8
201107,76.6,3.7
201108,76.0,5.1
201109,66.3,1.7
201110,55.3,1.0
201111,43.5,1.5
201112,31.4,-3.3
201201,38.6,5.1
201202,38.2,0.3
201203,47.8,4.4
201204,56.6,5.0
201205,63.4,3.0
201206,74.2,4.9
201207,74.4,1.5
201208,73.9,3.0
201209,66.2,1.6
201210,56.1,1.8
201211,46.6,4.6
201212,36.0,1.3
201301,32.0,-1.5
201302,36.1,-1.8
201303,46.6,3.2
201304,52.6,1.0
201305,61.6,1.2
201306,74.1,4.8
201307,73.0,0.1
201308,72.3,1.4
201309,66.0,1.4
201310,52.6,-1.7
201311,42.7,0.7
201312,34.5,-0.2
201401,36.4,2.9
201402,41.9,4.0
201403,46.0,2.6
201404,52.3,0.7
201405,60.1,-0.3
201406,72.4,3.1
201407,74.2,1.3
201408,70.5,-0.4
201409,66.5,1.9
201410,57.4,3.1
201411,42.4,0.4
201412,37.6,2.9
201501,35.6,2.1
201502,41.4,3.5
201503,47.6,4.2
201504,52.5,0.9
201505,58.3,-2.1
201506,71.6,2.3
201507,73.1,0.2
201508,73.4,2.5
201509,69.0,4.4
201510,57.5,3.2
201511,43.4,1.4
201512,35.9,1.2
201601,34.3,0.8
201602,42.0,4.1
201603,48.3,4.9
201604,52.3,0.7
201605,59.4,-1.0
201606,73.0,3.7
201607,76.9,4.0
201608,70.1,-0.8
201609,65.9,1.3
201610,59.6,5.3
201611,46.7,4.7
201612,37.8,3.1
201701,37.2,3.7
201702,44.5,6.6
201703,51.2,7.8
201704,53.7,2.1
201705,60.1,-0.3
201706,72.8,3.5
201707,74.6,1.7
201708,70.8,-0.1
201709,66.4,1.8
201710,56.4,2.1
201711,50.2,8.2
201712,38.7,4.0
201801,37.0,3.5
201802,41.3,3.4
201803,47.2,3.8
201804,55.1,3.5
201805,65.5,5.1
201806,74.2,4.9
201807,75.0,2.1
201808,73.0,2.1
201809,66.9,2.3
201810,53.9,-0.4
201811,41.2,-0.8
201812,35.6,0.9
201901,35.4,1.9
201902,38.0,0.1
201903,45.7,2.3
201904,53.8,2.2
201905,58.0,-2.4
201906,69.3,0.0
201907,75.3,2.4
201908,75.2,4.3
201909,69.0,4.4
201910,52.3,-2.0
201911,44.0,2.0
