Date,Value,Anomaly
199601,18.9,-1.1
199602,21.8,0.3
199603,27.8,-2.9
199604,41.6,-1.3
199605,52.6,-1.9
199606,65.3,1.6
199607,66.4,-1.8
199608,67.3,1.0
199609,60.2,1.3
199610,48.0,0.0
199611,32.6,-4.2
199612,31.9,7.0
199701,20.0,0.0
199702,27.3,5.8
199703,30.1,-0.6
199704,41.0,-1.9
199705,49.8,-4.7
199706,64.9,1.2
199707,66.9,-1.3
199708,64.9,-1.4
199709,57.8,-1.1
199710,46.9,-1.1
199711,34.5,-2.3
199712,27.8,2.9
199801,27.5,7.5
199802,30.2,8.7
199803,34.8,4.1
199804,46.0,3.1
199805,60.4,5.9
199806,63.7,0.0
199807,67.7,-0.5
199808,68.0,1.7
199809,61.1,2.2
199810,49.4,1.4
199811,38.5,1.7
199812,32.8,7.9
199901,20.7,0.7
199902,27.1,5.6
199903,30.1,-0.6
199904,44.0,1.1
199905,57.4,2.9
199906,66.7,3.0
199907,71.3,3.1
199908,65.8,-0.5
199909,62.1,3.2
199910,46.7,-1.3
199911,42.2,5.4
199912,28.6,3.7
200001,19.2,-0.8
200002,25.9,4.4
200003,37.9,7.2
200004,42.6,-0.3
200005,56.4,1.9
200006,63.5,-0.2
200007,64.8,-3.4
200008,65.4,-0.9
200009,58.3,-0.6
200010,48.8,0.8
200011,36.3,-0.5
200012,19.4,-5.5
200101,22.4,2.4
200102,24.7,3.2
200103,28.0,-2.7
200104,44.4,1.5
200105,57.0,2.5
200106,64.8,1.1
200107,65.9,-2.3
200108,70.0,3.7
200109,59.4,0.5
200110,50.1,2.1
200111,43.1,6.3
200112,33.4,8.5
200201,29.1,9.1
200202,29.1,7.6
200203,33.2,2.5
200204,45.9,3.0
200205,51.3,-3.2
200206,64.3,0.6
200207,70.0,1.8
200208,69.0,2.7
200209,63.1,4.2
200210,46.2,-1.8
200211,36.0,-0.8
200212,24.8,-0.1
200301,14.6,-5.4
200302,18.3,-3.2
200303,31.7,1.0
200304,41.3,-1.6
200305,53.8,-0.7
200306,62.6,-1.1
200307,68.1,-0.1
200308,69.1,2.8
200309,60.5,1.6
200310,46.2,-1.8
200311,40.5,3.7
200312,27.5,2.6
200401,12.8,-7.2
200402,21.6,0.1
200403,34.8,4.1
200404,44.1,1.2
200405,58.5,4.0
200406,62.0,-1.7
200407,67.3,-0.9
200408,65.8,-0.5
200409,61.9,3.0
200410,48.4,0.4
200411,38.8,2.0
200412,26.0,1.1
200501,18.6,-1.4
200502,24.1,2.6
200503,27.6,-3.1
200504,45.9,3.0
200505,51.0,-3.5
200506,69.1,5.4
200507,71.1,2.9
200508,70.1,3.8
200509,63.2,4.3
200510,49.7,1.7
200511,40.5,3.7
200512,23.8,-1.1
200601,30.1,10.1
200602,24.7,3.2
200603,31.7,1.0
