Date,Value,Anomaly
199601,0.3,-6.5
199602,14.6,1.5
199603,17.3,-7.9
199604,36.3,-5.0
199605,50.4,-3.7
199606,65.1,2.0
199607,66.6,-2.7
199608,69.1,1.7
199609,56.1,-0.3
199610,42.8,-1.4
199611,15.0,-11.1
199612,4.6,-8.5
199701,1.6,-5.2
199702,16.7,3.6
199703,22.5,-2.7
199704,36.5,-4.8
199705,51.7,-2.4
199706,67.2,4.1
199707,68.7,-0.6
199708,67.4,0.0
199709,60.4,4.0
199710,45.3,1.1
199711,25.4,-0.7
199712,24.9,11.8
199801,10.4,3.6
199802,27.8,14.7
199803,21.8,-3.4
199804,46.9,5.6
199805,56.9,2.8
199806,59.8,-3.3
199807,70.2,0.9
199808,70.6,3.2
199809,62.4,6.0
199810,45.4,1.2
199811,28.8,2.7
199812,17.4,4.3
199901,6.9,0.1
199902,22.9,9.8
199903,31.2,6.0
199904,42.6,1.3
199905,54.3,0.2
199906,62.6,-0.5
199907,69.2,-0.1
199908,67.3,-0.1
199909,53.6,-2.8
199910,43.3,-0.9
199911,37.3,11.2
199912,24.3,11.2
200001,12.4,5.6
200002,22.1,9.0
200003,35.1,9.9
200004,41.6,0.3
200005,55.4,1.3
200006,60.4,-2.7
200007,69.7,0.4
200008,68.4,1.0
200009,57.0,0.6
200010,46.3,2.1
200011,21.7,-4.4
200012,2.8,-10.3
200101,17.0,10.2
200102,5.5,-7.6
200103,27.1,1.9
200104,42.6,1.3
200105,56.0,1.9
200106,62.7,-0.4
200107,70.2,0.9
200108,70.3,2.9
200109,58.3,1.9
200110,42.2,-2.0
200111,37.1,11.0
200112,17.9,4.8
200201,16.9,10.1
200202,24.1,11.0
200203,16.3,-8.9
200204,38.2,-3.1
200205,48.6,-5.5
200206,65.6,2.5
200207,72.1,2.8
200208,66.1,-1.3
200209,59.2,2.8
200210,34.7,-9.5
200211,29.4,3.3
200212,20.8,7.7
200301,10.7,3.9
200302,8.8,-4.3
200303,22.8,-2.4
200304,44.9,3.6
200305,53.3,-0.8
200306,62.0,-1.1
200307,69.9,0.6
200308,72.2,4.8
200309,56.8,0.4
200310,47.9,3.7
200311,19.6,-6.5
200312,20.3,7.2
200401,3.8,-3.0
200402,15.5,2.4
200403,30.4,5.2
200404,43.4,2.1
200405,49.8,-4.3
200406,59.1,-4.0
200407,67.1,-2.2
200408,61.5,-5.9
200409,59.0,2.6
200410,44.2,0.0
200411,33.3,7.2
200412,19.4,6.3
200501,6.4,-0.4
200502,20.3,7.2
200503,28.9,3.7
200504,46.8,5.5
200505,51.2,-2.9
200506,64.9,1.8
200507,69.8,0.5
200508,66.1,-1.3
200509,59.7,3.3
200510,45.4,1.2
200511,31.5,5.4
200512,17.8,4.7
200601,25.9,19.1
200602,15.0,1.9
200603,27.5,2.3
200604,48.5,7.2
200605,55.5,1.4
200606,65.3,2.2
200607,73.8,4.5
200608,69.1,1.7
200609,55.7,-0.7
200610,39.9,-4.3
200611,28.4,2.3
200612,21.4,8.3
200701,13.7,6.9
200702,7.7,-5.4
200703,32.6,7.4
200704,40.7,-0.6
200705,55.8,1.7
200706,65.3,2.2
200707,73.1,3.8
200708,66.0,-1.4
200709,58.1,1.7
200710,46.3,2.1
200711,29.2,3.1
200712,12.7,-0.4
200801,9.6,2.8
200802,10.3,-2.8
200803,26.5,1.3
200804,40.0,-1.3
200805,51.4,-2.7
200806,60.8,-2.3
200807,69.2,-0.1
200808,68.6,1.2
200809,56.7,0.3
200810,44.4,0.2
200811,29.5,3.4
200812,5.0,-8.1
200901,5.0,-1.8
200902,11.4,-1.7
200903,20.0,-5.2
200904,39.2,-2.1
200905,51.7,-2.4
200906,60.7,-2.4
200907,64.6,-4.7
200908,64.5,-2.9
200909,63.3,6.9
200910,38.0,-6.2
200911,36.4,10.3
200912,7.4,-5.7
201001,9.7,2.9
201002,9.3,-3.8
201003,31.6,6.4
201004,47.2,5.9
201005,52.4,-1.7
201006,63.1,0.0
201007,68.8,-0.5
201008,69.0,1.6
201009,54.6,-1.8
201010,48.0,3.8
201011,27.2,1.1
201012,9.6,-3.5
201101,6.4,-0.4
201102,10.0,-3.1
201103,19.2,-6.0
201104,39.1,-2.2
201105,50.9,-3.2
201106,62.4,-0.7
201107,71.1,1.8
201108,68.6,1.2
201109,58.3,1.9
201110,48.4,4.2
201111,30.5,4.4
201112,23.0,9.9
201201,20.0,13.2
201202,21.0,7.9
201203,40.6,15.4
201204,45.8,4.5
201205,55.0,0.9
201206,65.5,2.4
201207,74.1,4.8
201208,67.4,0.0
201209,58.2,1.8
201210,41.2,-3.0
201211,27.5,1.4
201212,13.3,0.2
201301,11.4,4.6
201302,16.8,3.7
201303,17.6,-7.6
201304,31.3,-10.0
201305,53.4,-0.7
201306,63.3,0.2
201307,68.3,-1.0
201308,68.6,1.2
201309,62.0,5.6
201310,41.6,-2.6
201311,26.2,0.1
201312,5.0,-8.1
201401,8.5,1.7
201402,5.6,-7.5
201403,22.7,-2.5
201404,38.2,-3.1
201405,53.7,-0.4
201406,62.5,-0.6
201407,66.8,-2.5
201408,67.0,-0.4
201409,57.8,1.4
201410,46.5,2.3
201411,20.2,-5.9
201412,18.2,5.1
201501,16.0,9.2
201502,8.4,-4.7
201503,33.0,7.8
201504,44.3,3.0
201505,52.4,-1.7
201506,65.1,2.0
201507,69.9,0.6
201508,68.0,0.6
201509,62.0,5.6
201510,47.8,3.6
201511,32.5,6.4
201512,21.1,8.0
201601,14.6,7.8
201602,25.6,12.5
201603,36.3,11.1
201604,41.8,0.5
201605,56.6,2.5
201606,66.0,2.9
201607,69.3,0.0
201608,68.0,0.6
201609,58.6,2.2
201610,46.1,1.9
201611,39.3,13.2
201612,10.2,-2.9
201701,11.2,4.4
201702,20.5,7.4
201703,27.4,2.2
201704,42.7,1.4
201705,54.8,0.7
201706,64.8,1.7
201707,72.2,2.9
201708,65.2,-2.2
201709,58.3,1.9
201710,45.0,0.8
201711,26.4,0.3
201712,15.6,2.5
201801,11.8,5.0
201802,5.4,-7.7
201803,24.7,-0.5
201804,33.2,-8.1
201805,60.2,6.1
201806,67.4,4.3
201807,69.2,-0.1
201808,67.6,0.2
201809,54.9,-1.5
201810,39.0,-5.2
201811,22.9,-3.2
201812,20.8,7.7
201901,9.8,3.0
201902,-2.7,-15.8
201903,20.6,-4.6
201904,41.8,0.5
201905,49.7,-4.4
201906,64.0,0.9
201907,69.3,0.0
201908,65.5,-1.9
201909,58.3,1.9
201910,37.6,-6.6
201911,26.2,0.1
