Date,Value,Anomaly
199601,25.3,-1.5
199602,28.8,-0.9
199603,33.5,-4.8
199604,48.3,-1.1
199605,58.7,-1.4
199606,70.0,0.9
199607,70.5,-2.5
199608,71.4,0.4
199609,63.5,-1.0
199610,53.4,0.6
199611,35.6,-5.4
199612,35.4,4.7
199701,25.9,-0.9
199702,34.6,4.9
199703,41.4,3.1
199704,46.2,-3.2
199705,54.4,-5.7
199706,68.3,-0.8
199707,71.9,-1.1
199708,68.3,-2.7
199709,62.9,-1.6
199710,52.9,0.1
199711,38.9,-2.1
199712,33.6,2.9
199801,35.6,8.8
199802,38.7,9.0
199803,41.8,3.5
199804,51.2,1.8
199805,65.0,4.9
199806,69.1,0.0
199807,72.0,-1.0
199808,72.7,1.7
199809,68.0,3.5
199810,54.2,1.4
199811,43.9,2.9
199812,36.9,6.2
199901,28.4,1.6
199902,34.8,5.1
199903,35.3,-3.0
199904,52.8,3.4
199905,62.1,2.0
199906,71.1,2.0
199907,76.8,3.8
199908,70.0,-1.0
199909,64.7,0.2
199910,52.6,-0.2
199911,46.2,5.2
199912,33.0,2.3
200001,26.2,-0.6
200002,35.6,5.9
200003,44.9,6.6
200004,49.7,0.3
200005,62.9,2.8
200006,69.8,0.7
200007,69.9,-3.1
200008,69.7,-1.3
200009,63.2,-1.3
200010,55.9,3.1
200011,40.1,-0.9
200012,21.6,-9.1
200101,27.5,0.7
200102,34.0,4.3
200103,36.3,-2.0
200104,53.9,4.5
200105,61.5,1.4
200106,68.4,-0.7
200107,71.9,-1.1
200108,73.0,2.0
200109,62.3,-2.2
200110,53.8,1.0
200111,48.1,7.1
200112,37.7,7.0
200201,34.1,7.3
200202,35.0,5.3
200203,39.2,0.9
200204,52.6,3.2
200205,56.7,-3.4
200206,71.4,2.3
200207,75.7,2.7
200208,74.2,3.2
200209,68.3,3.8
200210,52.0,-0.8
200211,40.4,-0.6
200212,30.8,0.1
200301,21.5,-5.3
200302,25.4,-4.3
200303,41.0,2.7
200304,52.0,2.6
200305,59.5,-0.6
200306,66.0,-3.1
200307,71.6,-1.4
200308,72.6,1.6
200309,62.8,-1.7
200310,51.2,-1.6
200311,46.4,5.4
200312,32.8,2.1
200401,23.5,-3.3
200402,30.2,0.5
200403,42.6,4.3
200404,51.0,1.6
200405,64.5,4.4
200406,67.9,-1.2
200407,71.4,-1.6
200408,68.6,-2.4
200409,66.1,1.6
200410,53.6,0.8
200411,45.2,4.2
200412,31.5,0.8
200501,29.4,2.6
200502,32.7,3.0
200503,35.5,-2.8
200504,52.2,2.8
200505,56.4,-3.7
200506,72.6,3.5
200507,75.1,2.1
200508,74.2,3.2
200509,67.7,3.2
200510,54.2,1.4
200511,44.3,3.3
200512,27.2,-3.5
200601,38.8,12.0
200602,31.4,1.7
200603,38.9,0.6
200604,54.3,4.9
200605,59.1,-1.0
200606,67.6,-1.5
200607,74.2,1.2
200608,73.3,2.3
200609,61.9,-2.6
200610,50.5,-2.3
200611,44.2,3.2
200612,38.3,7.6
200701,33.0,6.2
200702,19.4,-10.3
200703,43.9,5.6
200704,48.4,-1.0
200705,63.9,3.8
200706,70.6,1.5
200707,70.6,-2.4
200708,75.0,4.0
200709,67.4,2.9
200710,59.9,7.1
200711,42.0,1.0
200712,33.1,2.4
200801,29.1,2.3
200802,28.4,-1.3
200803,36.8,-1.5
200804,52.9,3.5
200805,57.0,-3.1
200806,70.8,1.7
200807,72.3,-0.7
200808,70.4,-0.6
200809,67.0,2.5
200810,52.0,-0.8
200811,39.9,-1.1
200812,31.0,0.3
200901,20.8,-6.0
200902,31.4,1.7
200903,42.3,4.0
200904,51.1,1.7
200905,61.1,1.0
200906,69.0,-0.1
200907,68.5,-4.5
200908,71.0,0.0
200909,64.6,0.1
200910,50.0,-2.8
200911,46.1,5.1
200912,30.6,-0.1
201001,25.0,-1.8
201002,25.7,-4.0
201003,42.2,3.9
201004,55.4,6.0
201005,63.4,3.3
201006,72.2,3.1
201007,75.1,2.1
201008,74.2,3.2
201009,65.9,1.4
201010,54.7,1.9
201011,41.9,0.9
201012,24.8,-5.9
201101,23.5,-3.3
201102,30.5,0.8
201103,39.6,1.3
201104,52.1,2.7
201105,61.7,1.6
201106,70.4,1.3
201107,77.3,4.3
201108,71.9,0.9
201109,64.2,-0.3
201110,52.7,-0.1
201111,46.9,5.9
201112,36.9,6.2
201201,32.1,5.3
201202,35.1,5.4
201203,52.2,13.9
201204,50.2,0.8
201205,66.4,6.3
201206,70.3,1.2
201207,77.5,4.5
201208,71.4,0.4
201209,63.3,-1.2
201210,52.4,-0.4
201211,39.6,-1.4
201212,37.7,7.0
201301,30.5,3.7
201302,29.2,-0.5
201303,35.0,-3.3
201304,50.6,1.2
201305,63.2,3.1
201306,69.5,0.4
201307,72.5,-0.5
201308,70.2,-0.8
201309,64.5,0.0
201310,54.3,1.5
201311,39.0,-2.0
201312,32.0,1.3
201401,19.8,-7.0
201402,23.4,-6.3
201403,33.6,-4.7
201404,51.4,2.0
201405,61.7,1.6
201406,70.6,1.5
201407,69.4,-3.6
201408,71.0,0.0
201409,64.0,-0.5
201410,53.3,0.5
201411,36.8,-4.2
201412,35.3,4.6
201501,24.4,-2.4
201502,17.3,-12.4
201503,35.9,-2.4
201504,51.5,2.1
201505,65.0,4.9
201506,69.8,0.7
201507,71.6,-1.4
201508,70.1,-0.9
201509,68.4,3.9
201510,54.4,1.6
201511,47.3,6.3
201512,43.7,13.0
201601,27.2,0.4
201602,33.6,3.9
201603,46.5,8.2
201604,50.2,0.8
201605,59.7,-0.4
201606,71.2,2.1
201607,74.8,1.8
201608,76.0,5.0
201609,69.2,4.7
201610,57.7,4.9
201611,45.8,4.8
201612,31.0,0.3
201701,34.6,7.8
201702,40.5,10.8
201703,40.4,2.1
201704,56.6,7.2
201705,60.1,0.0
201706,69.6,0.5
201707,73.0,0.0
201708,69.7,-1.3
201709,65.8,1.3
201710,57.4,4.6
201711,41.8,0.8
201712,29.2,-1.5
201801,25.0,-1.8
201802,36.6,6.9
201803,36.4,-1.9
201804,45.1,-4.3
201805,68.0,7.9
201806,71.3,2.2
201807,73.8,0.8
201808,73.6,2.6
201809,69.6,5.1
201810,54.3,1.5
201811,37.3,-3.7
201812,35.1,4.4
201901,27.3,0.5
201902,33.0,3.3
201903,36.8,-1.5
201904,52.2,2.8
201905,62.7,2.6
201906,68.8,-0.3
201907,75.9,2.9
201908,71.8,0.8
201909,69.8,5.3
201910,56.6,3.8
201911,37.3,-3.7
