Date,Value,Anomaly
199601,45.9,0.7
199602,52.9,3.2
199603,53.1,-3.2
199604,64.5,-0.6
199605,78.5,5.9
199606,81.1,1.5
199607,83.6,1.2
199608,80.3,-1.5
199609,73.9,-1.9
199610,65.8,-0.5
199611,55.9,1.4
199612,49.8,2.7
199701,44.9,-0.3
199702,49.0,-0.7
199703,59.4,3.1
199704,59.7,-5.4
199705,70.5,-2.1
199706,77.6,-2.0
199707,82.7,0.3
199708,81.8,0.0
199709,78.0,2.2
199710,66.0,-0.3
199711,52.5,-2.0
199712,45.0,-2.1
199801,50.6,5.4
199802,51.1,1.4
199803,55.0,-1.3
199804,63.0,-2.1
199805,77.2,4.6
199806,83.9,4.3
199807,86.4,4.0
199808,82.3,0.5
199809,79.5,3.7
199810,68.5,2.2
199811,58.5,4.0
199812,48.2,1.1
199901,50.3,5.1
199902,56.6,6.9
199903,57.6,1.3
199904,66.9,1.8
199905,72.8,0.2
199906,79.2,-0.4
199907,81.8,-0.6
199908,84.3,2.5
199909,75.8,0.0
199910,65.8,-0.5
199911,59.6,5.1
199912,48.6,1.5
200001,50.7,5.5
200002,57.0,7.3
200003,61.4,5.1
200004,66.1,1.0
200005,76.9,4.3
200006,78.6,-1.0
200007,84.1,1.7
200008,84.2,2.4
200009,78.1,2.3
200010,67.2,0.9
200011,51.1,-3.4
200012,42.4,-4.7
200101,43.9,-1.3
200102,51.9,2.2
200103,53.3,-3.0
200104,67.8,2.7
200105,74.1,1.5
200106,80.9,1.3
200107,85.1,2.7
200108,82.8,1.0
200109,74.9,-0.9
200110,65.4,-0.9
200111,58.9,4.4
200112,49.4,2.3
200201,48.7,3.5
200202,47.1,-2.6
200203,55.4,-0.9
200204,69.1,4.0
200205,74.0,1.4
200206,80.6,1.0
200207,80.9,-1.5
200208,82.8,1.0
200209,76.0,0.2
200210,64.9,-1.4
200211,53.0,-1.5
200212,47.8,0.7
200301,46.2,1.0
200302,48.3,-1.4
200303,57.2,0.9
200304,66.6,1.5
200305,75.8,3.2
200306,78.5,-1.1
200307,82.1,-0.3
200308,82.9,1.1
200309,73.9,-1.9
200310,67.4,1.1
200311,58.0,3.5
200312,49.1,2.0
200401,48.9,3.7
200402,47.4,-2.3
200403,61.8,5.5
200404,64.3,-0.8
200405,73.7,1.1
200406,78.7,-0.9
200407,80.7,-1.7
200408,79.2,-2.6
200409,75.2,-0.6
200410,69.7,3.4
200411,55.7,1.2
200412,47.6,0.5
200501,50.7,5.5
200502,51.9,2.2
200503,56.5,0.2
200504,64.3,-0.8
200505,71.8,-0.8
200506,80.5,0.9
200507,82.4,0.0
200508,81.3,-0.5
200509,79.9,4.1
200510,66.4,0.1
200511,58.7,4.2
200512,47.2,0.1
200601,52.9,7.7
200602,50.2,0.5
200603,61.1,4.8
200604,70.7,5.6
200605,75.7,3.1
200606,80.8,1.2
200607,83.4,1.0
200608,83.6,1.8
200609,74.1,-1.7
200610,66.8,0.5
200611,57.9,3.4
200612,48.2,1.1
200701,42.5,-2.7
200702,49.4,-0.3
200703,61.9,5.6
200704,61.7,-3.4
200705,71.4,-1.2
200706,77.9,-1.7
200707,79.0,-3.4
200708,81.8,0.0
200709,77.1,1.3
200710,68.6,2.3
200711,57.6,3.1
200712,49.2,2.1
200801,46.1,0.9
200802,53.2,3.5
200803,58.4,2.1
200804,65.3,0.2
200805,74.3,1.7
200806,82.9,3.3
200807,81.7,-0.7
200808,80.8,-1.0
200809,73.3,-2.5
200810,65.4,-0.9
200811,56.8,2.3
200812,48.2,1.1
200901,47.9,2.7
200902,55.5,5.8
200903,59.5,3.2
200904,64.8,-0.3
200905,73.6,1.0
200906,81.7,2.1
200907,84.1,1.7
200908,83.3,1.5
200909,74.1,-1.7
200910,64.2,-2.1
200911,57.3,2.8
200912,43.1,-4.0
201001,44.4,-0.8
201002,44.0,-5.7
201003,54.8,-1.5
201004,65.0,-0.1
201005,73.8,1.2
