Date,Value,Anomaly
199601,15.1,-0.4
199602,18.4,1.0
199603,25.9,-1.5
199604,39.8,-0.2
199605,50.2,-2.1
199606,62.6,1.2
199607,64.9,-1.0
199608,64.8,1.1
199609,58.1,2.0
199610,44.6,-0.6
199611,30.3,-3.5
199612,29.2,8.6
199701,15.9,0.4
199702,23.2,5.8
199703,24.8,-2.6
199704,37.9,-2.1
199705,47.6,-4.7
199706,62.5,1.1
199707,64.3,-1.6
199708,62.9,-0.8
199709,55.3,-0.8
199710,43.7,-1.5
199711,32.0,-1.8
199712,22.7,2.1
199801,21.7,6.2
199802,26.1,8.7
199803,31.3,3.9
199804,43.2,3.2
199805,58.1,5.8
199806,61.8,0.4
199807,65.6,-0.3
199808,65.1,1.4
199809,57.8,1.7
199810,46.7,1.5
199811,35.5,1.7
199812,29.2,8.6
199901,17.0,1.5
199902,22.2,4.8
199903,28.9,1.5
199904,41.3,1.3
199905,55.5,3.2
199906,65.4,4.0
199907,68.5,2.6
199908,63.6,-0.1
199909,60.6,4.5
199910,43.3,-1.9
199911,39.3,5.5
199912,25.7,5.1
200001,15.0,-0.5
200002,20.8,3.4
200003,34.1,6.7
200004,39.8,-0.2
200005,52.9,0.6
200006,60.4,-1.0
200007,63.1,-2.8
200008,63.3,-0.4
200009,55.5,-0.6
200010,45.6,0.4
200011,34.8,1.0
200012,16.6,-4.0
200101,17.8,2.3
200102,19.5,2.1
200103,25.2,-2.2
200104,39.9,-0.1
200105,54.8,2.5
200106,63.2,1.8
200107,63.6,-2.3
200108,67.9,4.2
200109,57.4,1.3
200110,47.8,2.6
200111,38.5,4.7
200112,29.8,9.2
200201,25.2,9.7
200202,24.0,6.6
200203,29.7,2.3
200204,43.4,3.4
200205,49.4,-2.9
200206,60.6,-0.8
200207,66.5,0.6
200208,66.8,3.1
200209,60.4,4.3
200210,42.9,-2.3
200211,32.3,-1.5
200212,21.6,1.0
200301,9.5,-6.0
200302,14.2,-3.2
200303,27.8,0.4
200304,38.1,-1.9
200305,51.9,-0.4
200306,61.7,0.3
200307,66.5,0.6
200308,67.3,3.6
200309,58.4,2.3
200310,44.1,-1.1
200311,36.5,2.7
200312,21.8,1.2
200401,7.2,-8.3
200402,17.5,0.1
200403,31.6,4.2
200404,41.4,1.4
200405,54.9,2.6
200406,59.4,-2.0
200407,65.7,-0.2
200408,64.5,0.8
