Date,Value,Anomaly
199601,29.0,0.3
199602,32.0,-1.5
199603,39.2,0.5
199604,46.0,0.8
199605,48.2,-3.8
199606,57.2,-0.7
199607,66.6,2.4
199608,64.8,1.2
199609,55.0,-2.3
199610,45.9,-1.3
199611,35.3,-1.2
199612,28.1,-2.8
199701,30.4,1.7
199702,34.0,0.5
199703,38.7,0.0
199704,43.6,-1.6
199705,54.5,2.5
199706,56.9,-1.0
199707,63.2,-1.0
199708,66.5,2.9
199709,59.2,1.9
199710,46.3,-0.9
199711,39.6,3.1
199712,32.4,1.5
199801,32.0,3.3
199802,37.7,4.2
199803,41.0,2.3
199804,46.0,0.8
199805,52.9,0.9
199806,58.8,0.9
199807,69.0,4.8
199808,66.8,3.2
199809,62.2,4.9
199810,47.0,-0.2
199811,39.6,3.1
199812,30.2,-0.7
199901,34.3,5.6
199902,35.0,1.5
199903,38.6,-0.1
199904,43.7,-1.5
199905,48.5,-3.5
199906,56.0,-1.9
199907,62.0,-2.2
199908,65.6,2.0
199909,57.1,-0.2
199910,46.7,-0.5
199911,41.1,4.6
199912,34.7,3.8
200001,30.4,1.7
200002,35.2,1.7
200003,39.1,0.4
200004,47.8,2.6
200005,51.1,-0.9
200006,58.5,0.6
200007,63.5,-0.7
200008,63.4,-0.2
200009,56.3,-1.0
200010,46.8,-0.4
200011,32.6,-3.9
200012,29.4,-1.5
200101,31.8,3.1
200102,32.1,-1.4
200103,40.0,1.3
200104,43.5,-1.7
200105,53.1,1.1
200106,55.6,-2.3
200107,63.4,-0.8
200108,66.0,2.4
200109,59.8,2.5
200110,45.7,-1.5
200111,39.7,3.2
200112,31.8,0.9
200201,32.9,4.2
200202,34.3,0.8
200203,35.6,-3.1
200204,44.7,-0.5
200205,49.7,-2.3
200206,59.5,1.6
200207,66.1,1.9
200208,63.6,0.0
200209,57.5,0.2
200210,45.5,-1.7
200211,39.2,2.7
200212,34.6,3.7
200301,36.1,7.4
200302,35.4,1.9
200303,41.0,2.3
200304,44.6,-0.6
200305,51.3,-0.7
200306,60.8,2.9
200307,67.5,3.3
200308,65.9,2.3
200309,60.0,2.7
200310,50.6,3.4
200311,33.3,-3.2
200312,31.6,0.7
200401,29.8,1.1
200402,35.1,1.6
200403,42.9,4.2
200404,48.6,3.4
200405,52.4,0.4
200406,60.4,2.5
200407,67.3,3.1
200408,67.0,3.4
200409,56.1,-1.2
200410,48.5,1.3
200411,38.1,1.6
200412,34.5,3.6
200501,31.5,2.8
200502,35.8,2.3
200503,42.7,4.0
200504,46.3,1.1
200505,54.7,2.7
200506,57.0,-0.9
200507,65.0,0.8
200508,65.8,2.2
200509,55.7,-1.6
200510,48.4,1.2
200511,35.7,-0.8
200512,29.4,-1.5
200601,35.9,7.2
200602,32.8,-0.7
200603,38.8,0.1
200604,45.7,0.5
200605,53.0,1.0
200606,59.8,1.9
200607,67.5,3.3
200608,64.2,0.6
200609,58.8,1.5
200610,47.0,-0.2
200611,36.1,-0.4
200612,30.5,-0.4
200701,28.6,-0.1
200702,35.6,2.1
200703,41.5,2.8
200704,44.9,-0.3
200705,52.9,0.9
200706,57.5,-0.4
200707,68.1,3.9
200708,63.3,-0.3
200709,56.7,-0.6
200710,45.6,-1.6
200711,36.4,-0.1
200712,30.4,-0.5
200801,27.4,-1.3
200802,35.4,1.9
200803,37.0,-1.7
200804,40.8,-4.4
200805,53.1,1.1
200806,56.2,-1.7
200807,64.4,0.2
200808,64.0,0.4
200809,57.8,0.5
200810,46.6,-0.6
200811,40.2,3.7
200812,26.2,-4.7
200901,30.1,1.4
200902,33.1,-0.4
200903,35.3,-3.4
200904,44.1,-1.1
200905,52.3,0.3
200906,59.9,2.0
200907,67.5,3.3
200908,65.4,1.8
200909,59.9,2.6
200910,44.2,-3.0
200911,38.0,1.5
200912,26.6,-4.3
201001,36.3,7.6
201002,38.5,5.0
201003,40.9,2.2
201004,44.6,-0.6
201005,48.7,-3.3
201006,55.9,-2.0
201007,64.2,0.0
201008,63.5,-0.1
201009,57.1,-0.2
201010,48.6,1.4
201011,34.8,-1.7
201012,31.9,1.0
201101,32.1,3.4
201102,31.1,-2.4
201103,38.4,-0.3
201104,40.2,-5.0
201105,48.6,-3.4
201106,55.5,-2.4
201107,61.0,-3.2
201108,64.9,1.3
201109,61.0,3.7
201110,47.2,0.0
201111,35.3,-1.2
201112,31.0,0.1
201201,30.7,2.0
201202,34.5,1.0
201203,37.6,-1.1
201204,46.0,0.8
201205,50.9,-1.1
201206,55.0,-2.9
201207,65.2,1.0
201208,66.2,2.6
201209,59.7,2.4
201210,47.4,0.2
201211,39.0,2.5
201212,32.5,1.6
201301,29.1,0.4
201302,35.5,2.0
201303,40.2,1.5
201304,44.7,-0.5
201305,53.5,1.5
201306,58.7,0.8
201307,67.2,3.0
201308,66.2,2.6
201309,59.7,2.4
201310,46.1,-1.1
201311,36.7,0.2
201312,28.2,-2.7
201401,34.1,5.4
201402,29.8,-3.7
201403,40.1,1.4
201404,45.8,0.6
201405,54.3,2.3
201406,58.3,0.4
201407,68.6,4.4
201408,67.3,3.7
201409,59.8,2.5
201410,51.9,4.7
201411,36.3,-0.2
201412,34.2,3.3
201501,35.1,6.4
201502,40.7,7.2
201503,44.8,6.1
201504,45.7,0.5
201505,56.0,4.0
201506,65.5,7.6
201507,68.6,4.4
201508,66.6,3.0
201509,56.2,-1.1
201510,52.4,5.2
201511,36.0,-0.5
201512,32.1,1.2
201601,33.0,4.3
201602,39.1,5.6
201603,41.8,3.1
201604,51.6,6.4
201605,55.1,3.1
201606,59.9,2.0
201607,63.6,-0.6
201608,65.9,2.3
201609,56.4,-0.9
201610,47.4,0.2
201611,43.0,6.5
201612,26.1,-4.8
201701,24.8,-3.9
201702,31.0,-2.5
201703,39.3,0.6
201704,44.2,-1.0
201705,53.7,1.7
201706,59.5,1.6
201707,67.1,2.9
201708,68.6,5.0
201709,59.8,2.5
201710,46.2,-1.0
201711,37.7,1.2
201712,29.9,-1.0
201801,35.4,6.7
201802,32.4,-1.1
201803,38.8,0.1
201804,45.3,0.1
201805,57.6,5.6
201806,58.2,0.3
201807,67.5,3.3
201808,66.0,2.4
201809,56.3,-1.0
201810,47.4,0.2
201811,38.6,2.1
201812,33.1,2.2
201901,34.2,5.5
201902,25.4,-8.1
201903,36.3,-2.4
201904,46.2,1.0
201905,55.5,3.5
201906,59.5,1.6
201907,63.8,-0.4
201908,66.4,2.8
201909,57.1,-0.2
201910,42.8,-4.4
201911,38.2,1.7
