Date,Value,Anomaly
199601,44.2,3.5
199602,50.1,5.3
199603,51.9,2.4
199604,59.9,3.0
199605,69.6,4.2
199606,78.0,3.5
199607,82.3,2.3
199608,80.2,2.3
199609,70.3,-2.0
199610,60.8,-0.5
199611,51.0,1.9
199612,44.2,2.5
199701,42.0,1.3
199702,44.7,-0.1
199703,55.0,5.5
199704,56.2,-0.7
199705,70.5,5.1
199706,73.8,-0.7
199707,79.4,-0.6
199708,79.1,1.2
199709,75.0,2.7
199710,60.2,-1.1
199711,51.0,1.9
199712,39.4,-2.3
199801,43.8,3.1
199802,42.0,-2.8
199803,49.0,-0.5
199804,52.7,-4.2
199805,63.0,-2.4
199806,71.8,-2.7
199807,81.2,1.2
199808,80.4,2.5
199809,73.6,1.3
199810,60.5,-0.8
199811,50.6,1.5
199812,42.7,1.0
199901,45.4,4.7
199902,48.0,3.2
199903,53.0,3.5
199904,53.2,-3.7
199905,65.3,-0.1
199906,74.5,0.0
199907,78.3,-1.7
199908,77.8,-0.1
199909,72.6,0.3
199910,64.2,2.9
199911,55.1,6.0
199912,42.0,0.3
200001,45.8,5.1
200002,48.4,3.6
200003,50.5,1.0
200004,61.9,5.0
200005,71.2,5.8
200006,77.8,3.3
200007,81.5,1.5
200008,79.4,1.5
200009,74.9,2.6
200010,60.2,-1.1
200011,43.8,-5.3
200012,44.7,3.0
200101,40.3,-0.4
200102,44.2,-0.6
200103,51.8,2.3
200104,57.5,0.6
200105,70.8,5.4
200106,77.5,3.0
200107,79.8,-0.2
200108,79.1,1.2
200109,75.6,3.3
200110,64.7,3.4
200111,52.9,3.8
200112,40.2,-1.5
200201,42.3,1.6
200202,46.2,1.4
200203,49.8,0.3
200204,62.0,5.1
200205,67.0,1.6
200206,78.8,4.3
200207,82.3,2.3
200208,79.8,1.9
200209,73.6,1.3
200210,60.0,-1.3
200211,51.3,2.2
200212,41.0,-0.7
200301,48.8,8.1
200302,45.5,0.7
200303,50.6,1.1
200304,55.6,-1.3
200305,68.3,2.9
200306,76.3,1.8
200307,83.8,3.8
200308,80.0,2.1
200309,74.8,2.5
200310,67.3,6.0
200311,48.8,-0.3
200312,43.0,1.3
200401,42.8,2.1
200402,42.1,-2.7
200403,58.1,8.6
200404,57.9,1.0
200405,68.4,3.0
200406,75.9,1.4
200407,80.1,0.1
200408,77.7,-0.2
200409,71.8,-0.5
200410,60.0,-1.3
200411,47.3,-1.8
200412,42.8,1.1
200501,45.1,4.4
200502,46.2,1.4
200503,49.9,0.4
200504,57.2,0.3
200505,67.9,2.5
200506,74.4,-0.1
200507,82.7,2.7
200508,77.5,-0.4
200509,73.4,1.1
200510,62.8,1.5
200511,52.6,3.5
200512,43.9,2.2
200601,44.1,3.4
200602,47.8,3.0
200603,48.3,-1.2
200604,59.0,2.1
200605,70.0,4.6
200606,79.5,5.0
200607,82.3,2.3
200608,77.9,0.0
200609,69.8,-2.5
200610,60.2,-1.1
200611,52.8,3.7
200612,41.8,0.1
200701,39.0,-1.7
200702,46.7,1.9
200703,54.5,5.0
200704,59.3,2.4
200705,68.4,3.0
200706,77.3,2.8
200707,82.0,2.0
200708,80.5,2.6
200709,73.8,1.5
200710,62.4,1.1
200711,55.3,6.2
200712,39.9,-1.8
200801,39.8,-0.9
200802,45.0,0.2
200803,51.8,2.3
200804,58.0,1.1
200805,63.6,-1.8
200806,77.3,2.8
200807,80.4,0.4
200808,79.3,1.4
200809,73.6,1.3
200810,62.9,1.6
200811,53.3,4.2
200812,42.4,0.7
200901,45.2,4.5
200902,46.6,1.8
200903,52.5,3.0
200904,57.0,0.1
200905,70.8,5.4
200906,73.0,-1.5
200907,82.8,2.8
200908,79.7,1.8
200909,74.1,1.8
200910,59.4,-1.9
200911,52.9,3.8
200912,39.0,-2.7
201001,42.2,1.5
201002,44.3,-0.5
201003,49.2,-0.3
201004,56.1,-0.8
201005,63.1,-2.3
201006,75.9,1.4
201007,81.8,1.8
201008,79.0,1.1
201009,75.4,3.1
201010,62.7,1.4
201011,48.3,-0.8
201012,46.7,5.0
201101,41.5,0.8
201102,41.7,-3.1
201103,53.3,3.8
201104,58.9,2.0
201105,63.2,-2.2
201106,75.7,1.2
201107,80.8,0.8
201108,82.2,4.3
201109,74.6,2.3
201110,62.8,1.5
201111,49.4,0.3
201112,39.9,-1.8
201201,45.3,4.6
201202,45.6,0.8
201203,51.6,2.1
201204,60.6,3.7
201205,69.3,3.9
201206,78.7,4.2
201207,80.0,0.0
201208,80.5,2.6
201209,73.7,1.4
201210,63.8,2.5
201211,53.8,4.7
201212,42.4,0.7
201301,38.6,-2.1
201302,42.2,-2.6
201303,54.8,5.3
201304,59.4,2.5
201305,67.4,2.0
201306,79.5,5.0
201307,81.0,1.0
201308,78.5,0.6
201309,72.4,0.1
201310,58.8,-2.5
201311,51.3,2.2
201312,41.5,-0.2
201401,46.5,5.8
201402,50.0,5.2
201403,53.9,4.4
201404,59.1,2.2
201405,66.8,1.4
201406,77.7,3.2
201407,81.4,1.4
201408,76.5,-1.4
201409,74.2,1.9
201410,64.9,3.6
201411,51.7,2.6
201412,44.3,2.6
201501,45.1,4.4
201502,52.0,7.2
201503,56.3,6.8
201504,58.4,1.5
201505,62.9,-2.5
201506,78.4,3.9
201507,78.6,-1.4
201508,80.6,2.7
201509,75.0,2.7
201510,64.5,3.2
201511,48.3,-0.8
201512,40.9,-0.8
201601,41.8,1.1
201602,50.6,5.8
201603,54.9,5.4
201604,58.5,1.6
201605,64.6,-0.8
201606,80.3,5.8
201607,82.4,2.4
201608,77.5,-0.4
201609,71.6,-0.7
201610,66.1,4.8
201611,53.1,4.0
201612,44.7,3.0
201701,42.3,1.6
201702,49.4,4.6
201703,56.6,7.1
201704,59.9,3.0
201705,66.1,0.7
201706,79.8,5.3
201707,81.5,1.5
201708,79.1,1.2
201709,72.4,0.1
201710,65.1,3.8
201711,57.6,8.5
201712,46.6,4.9
201801,47.6,6.9
201802,46.8,2.0
201803,52.3,2.8
201804,62.9,6.0
201805,68.5,3.1
201806,78.6,4.1
201807,82.2,2.2
201808,80.2,2.3
201809,76.0,3.7
201810,60.0,-1.3
201811,49.4,0.3
201812,42.8,1.1
201901,42.4,1.7
201902,41.0,-3.8
201903,51.7,2.2
201904,60.3,3.4
201905,60.8,-4.6
201906,75.3,0.8
201907,81.7,1.7
201908,81.8,3.9
201909,73.8,1.5
201910,60.0,-1.3
201911,52.3,3.2
