Date,Value,Anomaly
199601,45.6,3.1
199602,48.8,3.2
199603,51.5,2.5
199604,56.8,2.6
199605,62.5,1.3
199606,70.4,1.9
199607,78.1,3.2
199608,76.7,2.8
199609,68.4,-0.4
199610,59.2,-0.7
199611,51.1,1.4
199612,45.6,2.3
199701,44.5,2.0
199702,46.6,1.0
199703,54.0,5.0
199704,55.6,1.4
199705,67.6,6.4
199706,68.4,-0.1
199707,74.0,-0.9
199708,74.9,1.0
199709,70.8,2.0
199710,59.0,-0.9
199711,51.6,1.9
199712,42.4,-0.9
199801,45.1,2.6
199802,43.6,-2.0
199803,49.2,0.2
199804,51.6,-2.6
199805,54.9,-6.3
199806,65.2,-3.3
199807,76.0,1.1
199808,77.2,3.3
199809,69.2,0.4
199810,57.7,-2.2
199811,48.8,-0.9
199812,42.0,-1.3
199901,45.0,2.5
199902,44.9,-0.7
199903,47.5,-1.5
199904,51.3,-2.9
199905,60.4,-0.8
199906,67.8,-0.7
199907,73.3,-1.6
199908,72.6,-1.3
199909,70.7,1.9
199910,63.7,3.8
199911,53.0,3.3
199912,45.3,2.0
200001,45.8,3.3
200002,47.2,1.6
200003,50.2,1.2
200004,57.8,3.6
200005,63.9,2.7
200006,72.2,3.7
200007,73.5,-1.4
200008,75.0,1.1
200009,69.1,0.3
200010,58.4,-1.5
200011,46.0,-3.7
200012,46.5,3.2
200101,42.3,-0.2
200102,43.1,-2.5
200103,52.6,3.6
200104,52.0,-2.2
200105,68.6,7.4
200106,71.4,2.9
200107,74.2,-0.7
200108,76.0,2.1
200109,71.2,2.4
200110,63.6,3.7
200111,51.6,1.9
200112,42.8,-0.5
200201,42.4,-0.1
200202,48.2,2.6
200203,48.5,-0.5
200204,56.0,1.8
200205,61.5,0.3
200206,71.2,2.7
200207,77.4,2.5
200208,74.4,0.5
200209,70.9,2.1
200210,59.4,-0.5
200211,52.3,2.6
200212,44.0,0.7
200301,50.0,7.5
200302,45.7,0.1
200303,51.4,2.4
200304,50.0,-4.2
200305,62.0,0.8
200306,71.2,2.7
200307,78.7,3.8
200308,75.0,1.1
200309,72.9,4.1
200310,65.4,5.5
200311,46.8,-2.9
200312,44.0,0.7
200401,43.5,1.0
200402,44.2,-1.4
200403,56.9,7.9
200404,57.3,3.1
200405,63.2,2.0
200406,70.4,1.9
200407,76.1,1.2
200408,74.8,0.9
200409,69.4,0.6
200410,58.2,-1.7
200411,47.7,-2.0
200412,44.6,1.3
200501,44.1,1.6
200502,47.1,1.5
200503,51.1,2.1
200504,53.0,-1.2
200505,62.2,1.0
200506,66.2,-2.3
200507,78.4,3.5
200508,75.8,1.9
200509,66.9,-1.9
200510,59.9,0.0
200511,52.4,2.7
200512,46.1,2.8
200601,44.6,2.1
200602,47.7,2.1
200603,44.0,-5.0
200604,53.0,-1.2
200605,64.6,3.4
200606,73.2,4.7
200607,79.3,4.4
200608,73.8,-0.1
200609,69.5,0.7
200610,58.8,-1.1
200611,51.3,1.6
200612,43.9,0.6
200701,41.5,-1.0
200702,46.7,1.1
200703,54.4,5.4
200704,56.3,2.1
200705,64.1,2.9
200706,70.5,2.0
200707,76.9,2.0
200708,76.1,2.2
200709,67.5,-1.3
200710,58.6,-1.3
200711,53.3,3.6
200712,41.2,-2.1
200801,41.1,-1.4
200802,45.8,0.2
200803,50.3,1.3
200804,54.4,0.2
200805,61.7,0.5
200806,71.1,2.6
200807,76.5,1.6
200808,76.6,2.7
200809,71.8,3.0
200810,61.8,1.9
200811,53.9,4.2
200812,42.0,-1.3
200901,46.9,4.4
200902,45.2,-0.4
200903,49.2,0.2
200904,54.3,0.1
200905,66.7,5.5
200906,67.5,-1.0
200907,77.6,2.7
200908,74.8,0.9
200909,73.0,4.2
200910,58.1,-1.8
200911,50.9,1.2
200912,41.8,-1.5
201001,45.2,2.7
201002,46.8,1.2
201003,49.0,0.0
201004,50.9,-3.3
201005,56.9,-4.3
201006,69.1,0.6
201007,76.1,1.2
201008,73.4,-0.5
201009,70.4,1.6
201010,60.5,0.6
201011,48.6,-1.1
201012,45.8,2.5
201101,45.2,2.7
201102,43.4,-2.2
201103,48.7,-0.3
201104,53.4,-0.8
201105,57.6,-3.6
201106,66.9,-1.6
201107,74.2,-0.7
201108,75.2,1.3
201109,72.2,3.4
201110,61.4,1.5
201111,48.2,-1.5
201112,42.8,-0.5
201201,46.5,4.0
201202,46.5,0.9
201203,48.8,-0.2
201204,55.8,1.6
201205,63.9,2.7
201206,69.3,0.8
201207,74.7,-0.2
201208,77.8,3.9
201209,73.1,4.3
201210,62.2,2.3
201211,52.5,2.8
201212,43.0,-0.3
201301,42.1,-0.4
201302,45.3,-0.3
201303,53.8,4.8
201304,58.2,4.0
201305,63.8,2.6
201306,72.4,3.9
201307,78.0,3.1
201308,74.4,0.5
201309,69.3,0.5
201310,58.5,-1.4
201311,51.9,2.2
201312,44.1,0.8
201401,50.1,7.6
201402,49.8,4.2
201403,53.5,4.5
201404,57.7,3.5
201405,64.6,3.4
201406,71.9,3.4
201407,78.4,3.5
201408,74.9,1.0
201409,72.2,3.4
201410,64.4,4.5
201411,53.1,3.4
201412,46.8,3.5
201501,48.6,6.1
201502,53.2,7.6
201503,56.9,7.9
201504,56.7,2.5
201505,60.8,-0.4
201506,74.4,5.9
201507,75.0,0.1
201508,76.5,2.6
201509,72.1,3.3
201510,65.0,5.1
201511,47.6,-2.1
201512,42.3,-1.0
201601,44.5,2.0
201602,51.8,6.2
201603,52.5,3.5
201604,57.9,3.7
201605,62.2,1.0
201606,73.5,5.0
201607,76.8,1.9
201608,76.2,2.3
201609,69.5,0.7
201610,60.5,0.6
201611,52.8,3.1
201612,43.4,0.1
201701,42.2,-0.3
201702,47.3,1.7
201703,53.4,4.4
